0,1,2,3,4,5
non-pronominal forms (neįvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis) neuter (bevardė giminė): tariama,nominative (vardininkas),tariamas,tariami,tariama,tariamos
genitive (kilmininkas),tariamo,tariamų,tariamos,tariamų,
dative (naudininkas),tariamam,tariamiems,tariamai,tariamoms,
accusative (galininkas),tariamą,tariamus,tariamą,tariamas,
instrumental (įnagininkas),tariamu,tariamais,tariama,tariamomis,
locative (vietininkas),tariamame,tariamuose,tariamoje,tariamose,
vocative (šauksmininkas),tariamas,tariami,tariama,tariamos,
,,,,,
comparative degree (aukštesnysis laipsnis) neuter (bevardė giminė): tariamiau,nominative (vardininkas),tariamesnis,tariamesni,tariamesnė,tariamesnės
genitive (kilmininkas),tariamesnio,tariamesnių,tariamesnės,tariamesnių,
dative (naudininkas),tariamesniam,tariamesniems,tariamesnei,tariamesnėms,
accusative (galininkas),tariamesnį,tariamesnius,tariamesnę,tariamesnes,
instrumental (įnagininkas),tariamesniu,tariamesniais,tariamesne,tariamesnėmis,
locative (vietininkas),tariamesniame,tariamesniuose,tariamesnėje,tariamesnėse,
,,,,,
superlative degree (aukščiausiasis laipsnis) neuter (bevardė giminė): tariamiausia,nominative (vardininkas),tariamiausias,tariamiausi,tariamiausia,tariamiausios
genitive (kilmininkas),tariamiausio,tariamiausių,tariamiausios,tariamiausių,
dative (naudininkas),tariamiausiam,tariamiausiems,tariamiausiai,tariamiausioms,
accusative (galininkas),tariamiausią,tariamiausius,tariamiausią,tariamiausias,
instrumental (įnagininkas),tariamiausiu,tariamiausiais,tariamiausia,tariamiausiomis,
locative (vietininkas),tariamiausiame,tariamiausiuose,tariamiausioje,tariamiausiose,
pronominal forms (įvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis),nominative (vardininkas),tariamasis,tariamieji,tariamoji,tariamosios
genitive (kilmininkas),tariamojo,tariamųjų,tariamosios,tariamųjų,
dative (naudininkas),tariamajam,tariamiesiems,tariamajai,tariamosioms,
accusative (galininkas),tariamąjį,tariamuosius,tariamąją,tariamąsias,
instrumental (įnagininkas),tariamuoju,tariamaisiais,tariamąja,tariamosiomis,
locative (vietininkas),tariamajame,tariamuosiuose,tariamojoje,tariamosiose,
vocative (šauksmininkas),tariamasis,tariamieji,tariamoji,tariamosios,
,,,,,
comparative degree (aukštesnysis laipsnis),nominative (vardininkas),tariamesnysis,tariamesnieji,tariamesnioji,tariamesniosios
genitive (kilmininkas),tariamesniojo,tariamesniųjų,tariamesniosios,tariamesniųjų,
dative (naudininkas),tariamesniajam,tariamesniesiems,tariamesniajai,tariamesniosioms,
accusative (galininkas),tariamesnįjį,tariamesniuosius,tariamesniąją,tariamesniąsias,
instrumental (įnagininkas),tariamesniuoju,tariamesniaisiais,tariamesniąja,tariamesniosiomis,
locative (vietininkas),tariamesniajame,tariamesniuosiuose,tariamesniojoje,tariamesniosiose,
,,,,,
superlative degree (aukščiausiasis laipsnis),nominative (vardininkas),tariamiausiasis,tariamiausieji,tariamiausioji,tariamiausiosios
genitive (kilmininkas),tariamiausiojo,tariamiausiųjų,tariamiausiosios,tariamiausiųjų,
dative (naudininkas),tariamiausiajam,tariamiausiesiems,tariamiausiajai,tariamiausiosioms,
accusative (galininkas),tariamiausiąjį,tariamiausiuosius,tariamiausiąją,tariamiausiąsias,
instrumental (įnagininkas),tariamiausiuoju,tariamiausiaisiais,tariamiausiąja,tariamiausiosiomis,
locative (vietininkas),tariamiausiajame,tariamiausiuosiuose,tariamiausiojoje,tariamiausiosiose,
,masculine,,feminine,,
singular,plural,singular,plural,,
nominative,tariamas,tariami,tariama,tariamos,
genitive,tariamo,tariamų,tariamos,tariamų,
dative,tariamam,tariamiems,tariamai,tariamoms,
accusative,tariamą,tariamus,tariamą,tariamas,
instrumental,tariamu,tariamais,tariama,tariamomis,
locative,tariamame,tariamuose,tariamoje,tariamose,
vocative,tariamas,tariami,tariama,tariamos,
,masculine,,feminine,,
singular,plural,singular,plural,,
nominative,tariamasis,tariamieji,tariamoji,tariamosios,
genitive,tariamojo,tariamųjų,tariamosios,tariamųjų,
dative,tariamajam,tariamiesiems,tariamajai,tariamosioms,
accusative,tariamajį,tariamuosius,tariamąją,tariamąsias,
instrumental,tariamuoju,tariamaisiais,tariamąja,tariamosiomis,
locative,tariamajame,tariamuosiuose,tariamojoje,tariamosiose,
vocative,tariamasis,tariamieji,tariamoji,tariamosios,
