0,1,2,3,4,5
,,,,,
gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,—,—,—,—,
partitive,—,—,—,—,
strong declension (without article),nominative,ümkamen,ümkamen,ümkamen,ümkamen
oblique,ümkamen,ümkamen,ümkamen,ümkamen,
weak declension (with definite article),nominative,de ümkamen,de ümkamen,dat ümkamen,de ümkamen
oblique,den ümkamen,de ümkamen,dat ümkamen,de ümkamen,
mixed declension (with indefinite article),nominative,en ümkamen,en ümkamen,en ümkamen,(keen) ümkamen
oblique,en ümkamen,en ümkamen,en ümkamen,(keen) ümkamen,
,,,,,
infinitive,ümkamen,,,,
,main clause,subordinate clause,,,
indicative,present,preterite,present,preterite,
1st person singular,kaam üm,keem üm,ümkaam,ümkeem,
2nd person singular,kümmst üm,keemst üm,ümkümmst,ümkeemst,
3rd person singular,kümmt üm,keem üm,ümkümmt,ümkeem,
plural,kaamt üm,kemen üm,ümkaamt,ümkemen,
imperative,present,—,—,—,
singular,kaam üm,,,,
plural,kaamt üm,,,,
participle,present,past,—,—,
,ümkamen,ümkamen,,,
