0,1,2,3,4
Plain Infinitive,binden,,,
Full Infinitive (Gerund),tô bindene or tô bindende,,,
Verbal Noun,binden or bindent,,,
Participles,Imperatives,,,
Present,bindende,2nd Person Singular,bint,
Past,gebunden,2nd Person Plural,bindet,
,Indicative,Subjunctive,,
Present,Preterite,Present,Preterite,
1st Person Singular,binde,bant,binde,bünde
2nd Person Singular,bindest or bintst,bundest or bündest,bindest,bündest
3rd Person Singular,bindet or bint,bant,bindet,bünde
Plural,binden (bindetnote),bunden or bünden,binden,bünden
