0,1,2,3
Present,Singular,Dual,Plural
1st person,cešu;cešom,cešomej,cešomy
2nd person,cešoš,cešotej,cešośo
3rd person,cešo,cešotej,cešu
Preterite,Singular,Dual,Plural
1st person,cesach,cesachmej,cesachmy
2nd person,cesašo,cesaštej,cesašćo
3rd person,cesašo,cesaštej,cesachu
Imperative,Singular,Dual,Plural
2nd person,ceš,ceštej,cešćo
Present,Singular,Dual,Plural
1st person,cesam,cesamej,cesamy
2nd person,cesaš,cesatej,cesaśo
3rd person,cesa,cesatej,cesaju
Preterite,Singular,Dual,Plural
1st person,cesach,cesachmej,cesachmy
2nd person,cesašo,cesaštej,cesašćo
3rd person,cesašo,cesaštej,cesachu
Imperative,Singular,Dual,Plural
2nd person,cesaj,cesajtej,cesajśo
nacesaś  pśecesaś  rozcesaś  scesaś,,wobcesaś  wócesaś  wótcesaś  wucesaś,
