0,1,2,3,4,5,6,7
infinitive,V;NFIN,,,,,,
gerund,V.CVB;PRS,,,,,,
auxiliary,aveir,,,,,,
past participle,,masculine,feminine,,,,
singular,V.PTCP;PST;MASC;SG,V.PTCP;PST;FEM;SG,,,,,
plural,V.PTCP;PST;MASC;PL,V.PTCP;PST;FEM;PL,,,,,
,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,je (j'),tu (t'),"i (il), o (ol),no (no-z-)",jenos,vos,"i (il), o (ol)"
present,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,
imperfect,V;IND;PST;1;SG;IPFV,V;IND;PST;2;SG;IPFV,V;IND;PST;3;SG;IPFV,V;IND;PST;1;PL;IPFV,V;IND;PST;2;PL;IPFV,V;IND;PST;3;PL;IPFV,
preterite (-i),V;IND;PST;1;SG;PFV,V;IND;PST;2;SG;PFV,V;IND;PST;3;SG;PFV,V;IND;PST;1;PL;PFV,V;IND;PST;2;PL;PFV,V;IND;PST;3;PL;PFV,
future,V;1;SG;IND;FUT,V;2;SG;IND;FUT,V;3;SG;IND;FUT,V;1;PL;IND;FUT,V;2;PL;IND;FUT,V;3;PL;IND;FUT,
conditional,V;1;SG;COND,V;2;SG;COND,V;3;SG;COND,V;1;PL;COND,V;2;PL;COND,V;3;PL;COND,
,,,,,,,
subjunctive,,qùe je (j'),qùe te (t'),"qù'i (il), qù'o (ol),qùe no (no-z-)",qùe jeqùe nos,qùe vos,"qù'i (il), qù'o (ol)"
present,V;1;SG;SBJV;PRS,V;2;SG;SBJV;PRS,V;3;SG;SBJV;PRS,V;1;PL;SBJV;PRS,V;2;PL;SBJV;PRS,V;3;PL;SBJV;PRS,
imperfect,V;1;SG;SBJV;PST;IPFV,V;2;SG;SBJV;PST;IPFV,V;3;SG;SBJV;PST;IPFV,V;1;PL;SBJV;PST;IPFV,V;2;PL;SBJV;PST;IPFV,V;3;PL;SBJV;PST;IPFV,
,,,,,,,
imperative,,—,tu,—,jenos,vos,—
affirmative,,V;2;SG;IMP;POS,,V;1;PL;IMP;POS,V;2;PL;IMP;POS,,
negative,,V;2;SG;IMP;NEG,,V;1;PL;IMP;NEG,V;2;PL;IMP;NEG,,
