0,1,2,3
"Even, id-idd gradation",,,
Attributive,buoiddes,,
Nominative,buoidi,,
Genitive,buoiddi,,
Attributive,buoiddes,,
,singular,plural,
Nominative,buoidi,buoiddit,
Genitive,buoiddi,buiddiid,
Accusative,buoiddi,buiddiid,
Illative,buoidái,buiddiide,
Locative,buoiddis,buiddiin,
Comitative,buiddiin,buiddiiguin,
Essive,buoidin,,
"Even, id-idd gradation",,,
Nominative,buoidi,,
Genitive,buoiddibuoidde,,
,Singular,Plural,
Nominative,buoidi,buoiddit,
Accusative,buoiddi,buiddiid,
Genitive,buoiddibuoidde,buiddiid,
Illative,buoidái,buiddiide,
Locative,buoiddis,buiddiin,
Comitative,buiddiin,buiddiiguin,
Essive,buoidin,,
Possessive forms,,,
,Singular,Dual,Plural
1st person,buoidán,buoidáme,buoidámet
2nd person,buoidát,buoidáde,buoidádet
3rd person,buoidis,buoidiska,buoidiset
