0,1,2
,singular (uncountable),
nominative,N;NOM;SG,
genitive,N;GEN;SG,
dative,N;DAT;SG,
accusative,N;ACC;SG,
ablative,N;ABL;SG,
instrumental,N;INS;SG,
locative,N;ESS;SG,
"singulars follow u-type declension, but o-type singular genitive-dative պառաւոյ ‎(paṙawoy) is also attested",,
,plural only (plurale tantum),
nominative,N;NOM;PL,
genitive,N;GEN;PL,
dative,N;DAT;PL,
accusative,N;ACC;PL,
ablative,N;ABL;PL,
instrumental,N;INS;PL,
locative,N;ESS;PL,
plurals follow n-type declension,,
պառաւական ‎(paṙawakan)  պառաւիմ ‎(paṙawim),,պառաւորդի ‎(paṙawordi)  պառաւութիւն ‎(paṙawutʿiwn)
