0,1,2,3,4
,singular,plural,,
nominative,N;NOM;SG;INDF,N;NOM;PL;INDF,,
dative,N;DAT;SG;INDF,N;DAT;PL;INDF,,
ablative,N;ABL;SG;INDF,N;ABL;PL;INDF,,
instrumental,N;INS;SG;INDF,N;INS;PL;INDF,,
locative,N;LOC;SG;INDF,N;LOC;PL;INDF,,
,definite forms,,,
nominative,N;NOM;SG;DEF,N;NOM;PL;DEF,,
dative,N;DAT;SG;DEF,N;DAT;PL;DEF,,
,1st person possessive forms (my),,,
nominative,N;NOM;SG;INDF;PSS1S,N;NOM;SG;INDF;PSS1S,,
dative,N;DAT;SG;INDF;PSS1S,N;DAT;SG;INDF;PSS1S,,
ablative,N;ABL;SG;INDF;PSS1S,N;ABL;SG;INDF;PSS1S,,
instrumental,N;INS;SG;INDF;PSS1S,N;INS;SG;INDF;PSS1S,,
locative,N;LOC;SG;PSS1S,N;LOC;SG;INDF;PSS1S,,
,2nd person possessive forms (your),,,
nominative,փաստդ ‎(pʿastd),N;NOM;SG;INDF;PSS2S,,
dative,փաստիդ ‎(pʿastid),N;DAT;SG;INDF;PSS2S,,
ablative,փաստիցդ ‎(pʿasticʿd),N;ABL;SG;INDF;PSS2S,,
instrumental,փաստովդ ‎(pʿastovd),N;INS;SG;INDF;PSS2S,,
locative,փաստումդ ‎(pʿastumd),N;LOC;SG;INDF;PSS2S,,
անփաստ ‎(anpʿast)  դժուարափաստաբան ‎(džuarapʿastaban)  դժուարափաստաբանելի ‎(džuarapʿastabaneli)  փաստաբանական ‎(pʿastabanakan),,փաստաբանեմ ‎(pʿastabanem)  փաստաբանութիւն ‎(pʿastabanutʿiwn)  փաստական ‎(pʿastakan)  փաստապատիր ‎(pʿastapatir),,փաստասէր ‎(pʿastasēr)  փաստաւոր ‎(pʿastawor)  փաստբանական ‎(pʿastbanakan)  փաստումն ‎(pʿastumn)
