0,1,2,3
,singular,,plural
nominative,N;NOM;SG;LGSPEC1/LGSPEC2,N;NOM;PL;LGSPEC1/LGSPEC2,
genitive,N;GEN;SG;LGSPEC1/LGSPEC2,? ‎(?),
dative,N;DAT;SG;LGSPEC1/LGSPEC2,? ‎(?),
accusative,N;ACC;SG;LGSPEC1/LGSPEC2,N;ACC;PL;LGSPEC1/LGSPEC2,
ablative,N;ABL;SG;LGSPEC1/LGSPEC2,? ‎(?),
instrumental,? ‎(?),? ‎(?),
locative,N;ESS;SG;LGSPEC1/LGSPEC2,N;ESS;PL;LGSPEC1/LGSPEC2,
"the instrumental singular and the genitive/dative/instrumental plural are not attested, which does not allow determining whether the word followed an i-type or an i-a-type declension",,,
,singular,,plural
nominative,N;NOM;SG;LGSPEC6,? ‎(?),
genitive,N;GEN;SG;LGSPEC6,? ‎(?),
dative,? ‎(?),? ‎(?),
accusative,N;ACC;SG;LGSPEC6,? ‎(?),
ablative,? ‎(?),? ‎(?),
instrumental,? ‎(?),? ‎(?),
locative,? ‎(?),? ‎(?),
