0,1,2,3
,Singular,Dual,Plural
Nominative,N;NOM;SG,N;NOM;DU,N;NOM;PL
Accusative,N;ACC;SG,N;ACC;DU,N;ACC;PL
Genitive,N;GEN;SG,N;GEN;DU,N;GEN;PL
Locative,N;ESS;SG,N;ESS;DU,N;ESS;PL
Dative,N;DAT;SG,N;DAT;DU,N;DAT;PL
Instrumental,N;INS;SG,N;INS;DU,N;INS;PL
Vocative,N;VOC;SG,N;VOC;DU,N;VOC;PL
"вражениѥ ‎(vraženije, “augury, enchanting”)  вражии ‎(vražii, “hostile, diabolical”)  вражьда ‎(vražĭda, “enmity, wickedness”)",,"вражьдовати ‎(vražĭdovati, “to hate, resent”)  вражьскꙑ ‎(vražĭsky, “hostilely”)",
Bulgarian: враг ‎(vrag)  Macedonian: враг ‎(vrag)  Old East Slavic: врагъ ‎(vragŭ)  Russian: враг ‎(vrag)  Rusyn: враг ‎(vrah),,Serbo-Croatian:  Cyrillic: вра̑г  Roman: vrȃg  Slovene: vrag,
