0,1,2,3,4,5,6
infinitive,V;NFIN,V;NFIN,,,,
indicative,present,past,,,,
1st-person singular,V;IND;PRS;1;SG,V;IND;PST;1;SG,,,,
2nd-person singular,V;IND;PRS;2;SG,V;IND;PST;2;SG,,,,
3rd-person singular,V;IND;PRS;3;SG,V;IND;PST;3;SG,,,,
plural,V;IND;PRS;PL,V;IND;PST;PL,,,,
subjunctive,present,past,,,,
singular,V;SBJV;PRS;SG,V;SBJV;PST;SG,,,,
plural,V;SBJV;PRS;PL,V;SBJV;PST;PL,,,,
imperative,,,,,,
singular,V;IMP;SG,,,,,
plural,V;IMP;PL,,,,,
participle,present,past,,,,
,V.PTCP;PRS,V.PTCP;PST,,,,
ætirnan  airnan  beirnan  foreirnan,,geirnan  geondirnan  oferirnan  ofirnan,,onirnan  oþirnan  toirnan,,underirnan  ymbirnan  þurhirnan
