0,1,2,3,4,5,6,7,8,9
,1st sg.,2nd sg.,3rd sg.,1st pl.,2nd pl.,3rd pl.,Passive sg.,Passive pl.,
Present,Deut.,,V;FIN;IND;PRS;2;SG;LGSPEC1,V;FIN;IND;PRS;3;SG;LGSPEC1,,,V;FIN;IND;PRS;3;PL;LGSPEC1,V;FIN;IND;PRS;PASS;SG;LGSPEC1,V;FIN;IND;PRS;PASS;PL;LGSPEC1
Prot.,,,V;FIN;IND;PRS;3;SG;LGSPEC2,,,V;FIN;IND;PRS;3;PL;LGSPEC2,,,
,,,,,,,,,
Imperfect,Deut.,,,V;FIN;IND;PST;IPFV;3;SG;LGSPEC1,,,V;FIN;IND;PST;IPFV;3;PL;LGSPEC1,,
Prot.,,,,,,V;FIN;IND;PST;IPFV;3;PL;LGSPEC2,,,
,,,,,,,,,
Preterite,Deut.,V;FIN;IND;PST;PFV;1;SG;LGSPEC1,V;FIN;IND;PST;PFV;2;SG;LGSPEC1,V;FIN;IND;PST;PFV;3;SG;LGSPEC1,V;FIN;IND;PST;PFV;1;PL;LGSPEC1,,V;FIN;IND;PST;PFV;3;PL;LGSPEC1,V;FIN;IND;PST;PFV;PASS;SG;LGSPEC1,
Prot.,,,V;FIN;IND;PST;PFV;3;SG;LGSPEC2,,,V;FIN;IND;PST;PFV;3;PL;LGSPEC2,,,
,,,,,,,,,
Perfect,Deut.,V;FIN;IND;PST;PRF;1;SG;LGSPEC1,V;FIN;IND;PST;PRF;2;SG;LGSPEC1,V;FIN;IND;PST;PRF;3;SG:LGSPEC1,,,V;FIN;IND;PST;PRF;3;PL;LGSPEC1,V;FIN;IND;PST;PRF;PASS;SG;LGSPEC1,
Prot.,V;FIN;IND;PST;PRF;1;SG;LGSPEC2,V;FIN;IND;PST;PRF;2;SG;LGSPEC2,V;FIN;IND;PST;PRF;3;SG:LGSPEC2,,,,V;FIN;IND;PST;PRF;PASS;SG;LGSPEC2,,
,,,,,,,,,
Future,Deut.,V;FIN;IND;FUT;1;SG;LGSPEC1,,V;FIN;IND;FUT;3;SG;LGSPEC1,V;FIN;IND;FUT;1;PL;LGSPEC1,V;FIN;IND;FUT;2;PL;LGSPEC1,V;FIN;IND;FUT;3;PL;LGSPEC1,,
Prot.,,,V;FIN;IND;FUT;3;SG;LGSPEC2,V;FIN;IND;FUT;1;PL;LGSPEC2,V;FIN;IND;FUT;2;PL;LGSPEC2,,,,
,,,,,,,,,
Conditional,Deut.,,,,,,,,
Prot.,V;FIN;COND;1;SG;LGSPEC2,,,,,,,,
,,,,,,,,,
Present subjunctive,Deut.,V;FIN;SBJV;PRS;1;SG;LGSPEC1,V;FIN;SBJV;PRS;2;SG;LGSPEC1,do·tédo·decha (perfective),,,do·dechsat (perfective),V;FIN;SBJV;PRS;PASS;SG;LGSPEC1,
Prot.,,·tuidchis (perfective),·taí·tudaich (perfective),,V;FIN;SBJV;PRS;2;PL;LGSPEC2,·táesat·tuidchisset (perfective),,,
,,,,,,,,,
Past subjunctive,Deut.,,,do·dichsed (perfective),,,do·dichsitis (perfective),,
Prot.,,,·taísed·tuidchissed (perfective),·tuidchesmis (perfective),,,,,
,,,,,,,,,
Imperative,,V;FIN;IMP;2;SG,V;FIN;IMP;3;SG,,V;FIN;IMP;2;PL,,,,
,,,,,,,,,
Verbal noun,V.MSDR,,,,,,,,
Past participle,,,,,,,,,
Verbal of necessity,V;FIN;LGSPEC3,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,,
Old Irish mutation,,,,,,,,,
Radical,Lenition,Nasalization,,,,,,,
do·tét,do·thét,do·tétpronounced with /-d(ʲ)-/,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,
