0,1,2
,,
infinitive,V;NFIN,
indicative,present,past
1st person singular,V;IND;PRS;1;SG,V;IND;PST;1;SG
2nd person singular,V;IND;PRS;2;SG,V;IND;PST;2;SG
3rd person singular,V;IND;PRS;3;SG,V;IND;PST;3;SG
plural,V;IND;PRS;PL,V;IND;PST;PL
subjunctive,present,present
1st person singular,V;SBJV;PRS;1;SG,V;SBJV;PST;1;SG
2nd person singular,V;SBJV;PRS;2;SG,V;SBJV;PST;2;SG
3rd person singular,V;SBJV;PRS;3;SG,V;SBJV;PST;3;SG
plural,V;SBJV;PRS;PL,V;SBJV;PST;PL
imperative,present,
singular,V;IMP;PRS;SG,
plural,V;IMP;PRS;PL,
participle,present,past
,V.PTCP;PRS,V.PTCP;PST
