0,1,2,3,4
Audio,,(file),,
,masculine,,feminine,
,singular,plural,singular,plural
direct,ADJ;NOM;MASC;SG,ADJ;NOM;MASC;PL,ADJ;NOM;FEM;SG,ADJ;NOM;FEM;PL
oblique,ADJ;(non)NOM;MASC;SG,ADJ;(non)NOM;MASC;PL,ADJ;(non)NOM;FEM;SG,ADJ;(non)NOM;FEM;PL
vocative,ADJ;VOC;MASC;SG,ADJ;VOC;MASC;PL,ADJ;VOC;FEM;SG,ADJ;VOC;FEM;PL
Colors in Pashto · رنګونه ‎(ranguna) (layout · text),,,,
سور ‎(sur),شين ‎(šin),ژېړ ‎(žeṛ),?,سپين ‎(spin)
?,?,?,?,ګلابي ‎(gwëlâbi)
نيلي ‎(nili),شين ‎(shin),نارنجي ‎(nâranji),خړ ‎(xëṛ),چوڼيا ‎(čuṇyâ)
تور ‎(tor),?,نسواري ‎(naswâri),?,?
