0,1,2
,singular,plural
bare,مجرد (mojarrád),مجرد‌ها (mojarrad-hấ)مجردا (mojarradấ) (colloquial)
definitive direct object,مجرد را (mojarrád râ)مجرد رو (mojarrádo) (colloquial),مجرد‌ها را (mojarrad-hấ râ)مجردا رو (mojarradấ ro) (colloquial)
ezâfé,مجرد (mojarrád-e),مجرد‌های (mojarrad-hấ-ye)مجردای (mojarradấ-ye) (colloquial)
"marked indefinite, relative definite",مجردی (mojarrád-i),مجرد‌هایی (mojarrad-hấ-i)مجردایی (mojarradấi) (colloquial)
,singular,plural
1st person singular (my),مجردم (mojarrádam),مجرد‌هایم (mojarrad-hấyam) مجرد‌هام، مجردام (mojarradấm) (colloquial)
2nd person singular (your),مجردت (mojarrádat) (mojarrádet) (colloquial),مجرد‌هایت (mojarrad-hấyat) مجرد‌هات، مجردات (mojarradất) (colloquial)
3rd person singular (his/her/its),مجردش (mojarrádaš) (mojarrádeš) (colloquial),مجرد‌هایش (mojarrad-hấyaš) مجرد‌هاش، مجرداش (mojarradấš) (colloquial)
,,
1st person plural (our),مجردمان (mojarrádemân) مجردمون (mojarrádemun) (colloquial),مجرد‌هایمان (mojarrad-hấyemân) مجرد‌هامون، مجردامون (mojarradấmun) (colloquial)
2nd person plural (your),مجردتان (mojarrádetân) مجردتون (mojarrádetun) (colloquial),مجرد‌هایتان (mojarrad-hấyetân) مجرد‌هاتون، مجرداتون (mojarradấtun) (colloquial)
3rd person plural (their),مجردشان (mojarrádešân) مجردشون (mojarrádešun) (colloquial),مجرد‌هایشان (mojarrad-hấyešân) مجرد‌هاشون، مجرداشون (mojarradấšun) (colloquial)
,singular,plural
1st person (I am/we are),مجردم (mojarrádam),مجردیم (mojarrádim)
2nd person (you are),مجردی (mojarrádi),مجردید (mojarrádid)مجردین (mojarrádin) (colloquial)
"3rd person (he, she, it is/they are)",مجرد است (mojarrád ast) مجرده (mojarráde) (colloquial),مجردند (mojarrádand) مجردن (mojarrádan) (colloquial)
