0,1,2
audio,,(file)
Dari,نام,
Iranian Persian,نام,
Tajik,ном ‎(nom),
,singular,plural
bare,نام (nâm),نام‌ها (nâm-hấ)ناما (nâmấ) (colloquial)
definitive direct object,نام را (nâm râ)نام رو (nâmo) (colloquial),نام‌ها را (nâm-hấ râ)ناما رو (nâmấ ro) (colloquial)
ezâfé,نام (nâm-e),نام‌های (nâm-hấ-ye)نامای (nâmấ-ye) (colloquial)
"marked indefinite, relative definite",نامی (nâm-i),نام‌هایی (nâm-hấ-i)نامایی (nâmấi) (colloquial)
,singular,plural
1st person singular (my),نامم (nâmam),نام‌هایم (nâm-hấyam) نام‌هام، نامام (nâmấm) (colloquial)
2nd person singular (your),نامت (nâmat) (nâmet) (colloquial),نام‌هایت (nâm-hấyat) نام‌هات، نامات (nâmất) (colloquial)
3rd person singular (his/her/its),نامش (nâmaš) (nâmeš) (colloquial),نام‌هایش (nâm-hấyaš) نام‌هاش، ناماش (nâmấš) (colloquial)
,,
1st person plural (our),ناممان (nâmemân) ناممون (nâmemun) (colloquial),نام‌هایمان (nâm-hấyemân) نام‌هامون، نامامون (nâmấmun) (colloquial)
2nd person plural (your),نامتان (nâmetân) نامتون (nâmetun) (colloquial),نام‌هایتان (nâm-hấyetân) نام‌هاتون، ناماتون (nâmấtun) (colloquial)
3rd person plural (their),نامشان (nâmešân) نامشون (nâmešun) (colloquial),نام‌هایشان (nâm-hấyešân) نام‌هاشون، ناماشون (nâmấšun) (colloquial)
