0,1,2,3,4
Neuter a-stem declension of स्थान,,,,
Nom. sg.,स्थानम् ‎(sthānam),,,
Gen. sg.,स्थानस्य ‎(sthānasya),,,
,Singular,Dual,Plural,
Nominative,N;NOM;SG,N;NOM;DU,N;NOM;PL,
Vocative,N;VOC;SG,N;VOC;DU,N;VOC;PL,
Accusative,N;ACC;SG,N;ACC;DU,N;ACC;PL,
Instrumental,N;INS;SG,N;INS;DU,N;INS;PL,
Dative,N;DAT;SG,N;DAT;DU,N;DAT;PL,
Ablative,N;ABL;SG,N;ABL;DU,N;ABL;PL,
Genitive,N;GEN;SG,N;GEN;DU,N;GEN;PL,
Locative,N;LOC;SG,N;LOC;DU,N;LOC;PL,
स्थानचञ्चला ‎(sthānacañcalā)  स्थानचतुर्विधश्लोक ‎(sthānacaturvidhaśloka)  स्थानचिन्तक ‎(sthānacintaka)  स्थानच्युत ‎(sthānacyuta)  स्थानतस् ‎(sthānatas)  स्थानता ‎(sthānatā)  स्थानत्याग ‎(sthānatyāga)  स्थानत्व ‎(sthānatva)  स्थानदातृ ‎(sthānadātṛ)  स्थानदीप्त ‎(sthānadīpta)  स्थानपत ‎(sthānapata)  स्थानपति ‎(sthānapati)  स्थानपात ‎(sthānapāta)  स्थानपाल ‎(sthānapāla)  स्थानप्रच्युत ‎(sthānapracyuta)  स्थानप्राप्ति ‎(sthānaprāpti)  स्थानभङ्ग ‎(sthānabhaṅga),,स्थानभूमि ‎(sthānabhūmi)  स्थानभ्रष्ट ‎(sthānabhraṣṭa)  स्थानभ्रंश ‎(sthānabhraṃśa)  स्थानमाहात्म्य ‎(sthānamāhātmya)  स्थानमृग ‎(sthānamṛga)  स्थानयोग ‎(sthānayoga)  स्थानयोगिन् ‎(sthānayogin)  स्थानरक्षक ‎(sthānarakṣaka)  स्थानवत् ‎(sthānavat)  स्थानविद् ‎(sthānavid)  स्थानविभाग ‎(sthānavibhāga)  स्थानवीरासन ‎(sthānavīrāsana)  स्थानस्थ ‎(sthānastha)  स्थानस्थान ‎(sthānasthāna)  स्थानस्थित ‎(sthānasthita)  स्थानाङ्ग ‎(sthānāṅga)  स्थानाधिकार ‎(sthānādhikāra),,स्थानाधिपति ‎(sthānādhipati)  स्थानाध्यक्ष ‎(sthānādhyakṣa)  स्थानान्त ‎(sthānānta)  स्थानान्तर ‎(sthānāntara)  स्थानान्तरगत ‎(sthānāntaragata)  स्थानान्तराभिमुख ‎(sthānāntarābhimukha)  स्थानान्यत्व ‎(sthānānyatva)  स्थानापत्ति ‎(sthānāpatti)  स्थानापन्न ‎(sthānāpanna)  स्थानाभाव ‎(sthānābhāva)  स्थानाश्रय ‎(sthānāśraya)  स्थानासन ‎(sthānāsana)  स्थानासनविहारवत् ‎(sthānāsanavihāravat)  स्थानासनिक ‎(sthānāsanika)  स्थानासेध ‎(sthānāsedha)  स्थानास्थानज्ञानबल ‎(sthānāsthānajñānabala)
