0,1,2,3
Neuter a-stem declension of सङ्गीत,,,
Nom. sg.,सङ्गीतम् ‎(saṅgītam),,
Gen. sg.,सङ्गीतस्य ‎(saṅgītasya),,
,Singular,Dual,Plural
Nominative,N;NOM;SG,N;NOM;DU,N;NOM;PL
Vocative,N;VOC;SG,N;VOC;DU,N;VOC;PL
Accusative,N;ACC;SG,N;ACC;DU,N;ACC;PL
Instrumental,N;INS;SG,N;INS;DU,N;INS;PL
Dative,N;DAT;SG,N;DAT;DU,N;DAT;PL
Ablative,N;ABL;SG,N;ABL;DU,N;ABL;PL
Genitive,N;GEN;SG,N;GEN;DU,N;GEN;PL
Locative,N;LOC;SG,N;LOC;DU,N;LOC;PL
"Bengali: সঙ্গীত ‎(sônggit)  Gujarati: સંગીત ‎(saṅgīt)  Hindi: संगीत ‎(saṅgīt), सङ्गीत ‎(saṅgīt)  Kannada: ಸಂಗೀತ ‎(saṃgīta)",,Malay: gita (now obsolete)  Marathi: संगीत ‎(saṅgīt)  Nepali: संगीत ‎(saṅgīt)  Telugu: సంగీతము ‎(saṃgītamu)  Urdu: سنگیت ‎(saṅgīt),
