0,1,2,3,4
singular,masculine,feminine,neuter,
nominative,сакат,саката,сакато,
genitive,саката,сакате,саката,
dative,сакату,сакатој,сакату,
accusative,inanimateanimate,сакатсаката,сакату,сакато
vocative,сакат,саката,сакато,
locative,сакату,сакатој,сакату,
instrumental,сакатим,сакатом,сакатим,
plural,masculine,feminine,neuter,
nominative,сакати,сакате,саката,
genitive,сакатих,сакатих,сакатих,
dative,сакатим(а),сакатим(а),сакатим(а),
accusative,сакате,сакате,саката,
vocative,сакати,сакате,саката,
locative,сакатим(а),сакатим(а),сакатим(а),
instrumental,сакатим(а),сакатим(а),сакатим(а),
singular,masculine,feminine,neuter,
nominative,сакати,саката,сакато,
genitive,сакатог(а),сакате,сакатог(а),
dative,сакатом(у/е),сакатој,сакатом(у/е),
accusative,inanimateanimate,сакатисакатог(а),сакату,сакато
vocative,сакати,саката,сакато,
locative,сакатом(е/у),сакатој,сакатом(е/у),
instrumental,сакатим,сакатом,сакатим,
plural,masculine,feminine,neuter,
nominative,сакати,сакате,саката,
genitive,сакатих,сакатих,сакатих,
dative,сакатим(а),сакатим(а),сакатим(а),
accusative,сакате,сакате,саката,
vocative,сакати,сакате,саката,
locative,сакатим(а),сакатим(а),сакатим(а),
instrumental,сакатим(а),сакатим(а),сакатим(а),
