0,1,2,3,4,5,6,7
PIE root,,,,,,,
*ǵneh₃-,,,,,,,
Infinitive: знати,Present verbal adverb: зна̏јӯћи / зна́дӯћи,Past verbal adverb: —,Verbal noun: —,,,,
Number,Singular,Plural,,,,,
Person,1st,2nd,3rd,1st,2nd,3rd,
Verbal forms,ја,ти,он / она / оно,ми,ви,они / оне / она,
Present,знам / знадем,знаш / знадеш,зна / знаде,знамо / знадемо,знате / знадете,знају / знаду,
Future,Future I,знат ћу2знаћу,знат ћеш2знаћеш,знат ће2знаће,знат ћемо2знаћемо,знат ћете2знаћете,знат ће2знаће
Future II,будем знао1,будеш знао1,буде знао1,будемо знали1,будете знали1,буду знали1,
Past,Perfect,знао сам1,знао си1,знао je1,знали смо1,знали сте1,знали су1
Pluperfect,био сам знао1,био си знао1,био је знао1,били смо знали1,били сте знали1,били су знали1,
Imperfect,знах,знаше,знаше,знасмо,знасте,знаху,
Conditional I,знао бих1,знао би1,знао би1,знали бисмо1,знали бисте1,знали би1,
Conditional II,био бих знао1,био би знао1,био би знао1,били бисмо знали1,били бисте знали1,били би знали1,
Imperative,—,знај,—,знајмо,знајте,—,
Active past participle,знао m / знала f / знало n,знали m / знале f / знала n,,,,,
Passive past participle,знан m / знана f / знано n,знани m / знане f / знана n,,,,,
"1   For the masculine; agent of feminine or neuter gender would use the feminine and neuter gender forms of the active past participle and the auxiliary verb, respectively.",,,,,,,
до̀знати ‎(“to find out”)  зна́нац m ‎(“acquaintance”)  зна̏но̄ст f ‎(“science”)  зна́ње n ‎(“knowledge”),,"по̀знати ‎(“to know, have knowledge of; to recognize, make out”)  препо̀знати ‎(“to recognize”)  прѝзнати ‎(“to acknowledge, recognize; to own, confess; to admit; to concede the claim; to appreciate; to plead guilty”)  раза̀знати ‎(“to distinguish, make out, differentiate”)",,"распо̀знати ‎(“to tell apart, recognize, discern, make out”)  са̀знати ‎(“to find out, come to know”)  спо̀знати ‎(“to comprehend, conceive; to become aware or cognizant of; to learn”)  упо̀знати ‎(“to get acquainted with; to meet, get introduced to; learn; experience”)",,,
