0,1,2,3
Inflection of förnäm,,,
Indefinite/attributive,Positive,Comparative,Superlative2
Common singular,förnäm,förnämare,förnämast
Neuter singular,förnämt,förnämare,förnämast
Plural,förnäma,förnämare,förnämast
Definite,Positive,Comparative,Superlative
Masculine singular1,förnäme,förnämare,förnämaste
All,förnäma,förnämare,förnämaste
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,
Inflection of förnäm,,,
Indefinite/attributive,Positive,Comparative,Superlative2
Common singular,förnäm,förnämare,förnämst
Neuter singular,förnämt,förnämare,förnämst
Plural,förnäma,förnämare,förnämst
Definite,Positive,Comparative,Superlative
Masculine singular1,förnäme,förnämare,förnämste
All,förnäma,förnämare,förnämsta
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,
