0,1,2,3,4
audio,,(file),,
Inflection of fri,,,,
Indefinite/attributive,Positive,Comparative,Superlative2,
Common singular,fri,friare,friast,
Neuter singular,fritt,friare,friast,
Plural,fria,friare,friast,
Definite,Positive,Comparative,Superlative,
Masculine singular1,frie,friare,friaste,
All,fria,friare,friaste,
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,,
alkolholfri  alliansfri  avgiftsfri  bombfri  felfri  fria  frige  frigöra  frihamn  frihandel  friherre  friherrinna  frihet  friidrott  frikänna  frikår  frikostig  frikyrka,,frilägga  friland  frilans  friliggande  friluftsliv  frimärke  frimurare  fripassagerare  frisim  frisinnad  frisinne  friskola  frisläppa  frispark  fristad  fristående  fristat,,fristil  frita  fritid  fritt  frivillig  frostfri  isfri  kostnadsfri  momsfri  mötesfri  ofri  problemfri  receptfri  reklamfri  rostfri  skattefri  valfri
