0,1,2,3,4
audio,,(file),,
Inflection of bringa,,,,
,Singular,Plural,,
Indefinite,Definite,Indefinite,Definite,
Nominative,bringa,bringan,bringor,bringorna
Genitive,bringas,bringans,bringors,bringornas
,Active,Passive,,
Infinitive,bringa,bringas,,
Present tense,bringar,bringas,,
Past tense,bringade,bringades,,
Supine,bringat,bringats,,
Imperative,bringa,—,,
Present participle,bringande,,,
Past participle,bringad,,,
,Active,Passive,,
Infinitive,bringa,bringas,,
Present tense,bringar,bringas,,
Past tense,bragte,bragtes,,
Supine,bragt,bragts,,
Imperative,bringa,—,,
Present participle,bringande,,,
Past participle,bragd,,,
