0,1,2,3,4,5,6
Audio,,(file),,,,
Inflection of docka,,,,,,
,Singular,Plural,,,,
Indefinite,Definite,Indefinite,Definite,,,
Nominative,docka,dockan,dockor,dockorna,,
Genitive,dockas,dockans,dockors,dockornas,,
dockaktig  dockansikte  dockfilm  dockhus  dockkläder  dockklänning,,dockliknande  dockmakare  dockmamma  dockmöbel  dockservis  dockskåp,,docksäng  docksöt  dockteater  dockvagn  krockdocka  porslinsdocka,,provdocka  skyltdocka  testdocka  trasdocka  vippdocka
dockport,,flytdocka,,torrdocka,,
actionfigur,,marionett,,tennsoldat,,
,Active,Passive,,,,
Infinitive,docka,dockas,,,,
Present tense,dockar,dockas,,,,
Past tense,dockade,dockades,,,,
Supine,dockat,dockats,,,,
Imperative,docka,—,,,,
Present participle,dockande,,,,,
Past participle,dockad,,,,,
