0,1,2,3
audio,,(file),
Inflection of ringa,,,
Indefinite/attributive,Positive,Comparative,Superlative2
Common singular,ringa,ringare,ringast
Neuter singular,ringa,ringare,ringast
Plural,ringa,ringare,ringast
Definite,Positive,Comparative,Superlative
Masculine singular1,ringe,ringare,ringaste
All,ringa,ringare,ringaste
"1) Only used, optionally, to refer to things whose natural gender is masculine.2) The indefinite superlative forms are only used in an attributive role.",,,
,Active,Passive,
Infinitive,ringa,ringas,
Present tense,ringer,"rings, ringes",
Past tense,ringde,ringdes,
Supine,ringt,ringts,
Imperative,ring,—,
Present participle,ringande,,
Past participle,ringd,,
,Active,Passive,
Infinitive,ringa,ringas,
Present tense,ringer,"rings, ringes",
Past tense,rang,rangs,
Supine,rungit,rungits,
Imperative,ring,—,
Present participle,ringande,,
Past participle,rungen,,
