0,1,2
,singular (tekil),plural (çoğul)
nominative (yalın),üst,üstler
definite accusative (belirtme),üstü,üstleri
dative (yönelme),üste,üstlere
locative (bulunma),üstte,üstlerde
ablative (çıkma),üstten,üstlerden
genitive (tamlayan),üstün,üstlerin
benim (my),singular (tekil),plural (çoğul)
nominative (yalın),üstüm,üstlerim
definite accusative (belirtme),üstümü,üstlerimi
dative (yönelme),üstüme,üstlerime
locative (bulunma),üstümde,üstlerimde
ablative (çıkma),üstümden,üstlerimden
genitive (tamlayan),üstümün,üstlerimin
senin (your),singular (tekil),plural (çoğul)
nominative (yalın),üstün,üstlerin
definite accusative (belirtme),üstünü,üstlerini
dative (yönelme),üstüne,üstlerine
locative (bulunma),üstünde,üstlerinde
ablative (çıkma),üstünden,üstlerinden
genitive (tamlayan),üstünün,üstlerinin
onun (her/his/its),singular (tekil),plural (çoğul)
nominative (yalın),üstü,üstleri
definite accusative (belirtme),üstünü,üstlerini
dative (yönelme),üstüne,üstlerine
locative (bulunma),üstünde,üstlerinde
ablative (çıkma),üstünden,üstlerinden
genitive (tamlayan),üstünün,üstlerinin
bizim (our),singular (tekil),plural (çoğul)
nominative (yalın),üstümüz,üstlerimiz
definite accusative (belirtme),üstümüzü,üstlerimizi
dative (yönelme),üstümüze,üstlerimize
locative (bulunma),üstümüzde,üstlerimizde
ablative (çıkma),üstümüzden,üstlerimizden
genitive (tamlayan),üstümüzün,üstlerimizin
sizin (your),singular (tekil),plural (çoğul)
nominative (yalın),üstünüz,üstleriniz
definite accusative (belirtme),üstünüzü,üstlerinizi
dative (yönelme),üstünüze,üstlerinize
locative (bulunma),üstünüzde,üstlerinizde
ablative (çıkma),üstünüzden,üstlerinizden
genitive (tamlayan),üstünüzün,üstlerinizin
onların (their),singular (tekil),plural (çoğul)
nominative (yalın),üstleri,üstleri
definite accusative (belirtme),üstlerini,üstlerini
dative (yönelme),üstlerine,üstlerine
locative (bulunma),üstlerinde,üstlerinde
ablative (çıkma),üstlerinden,üstlerinden
genitive (tamlayan),üstlerinin,üstlerinin
üstlü  üstlük  üstsüz,,üstsüzlük  üstün
