0,1,2,3,4,5,6
cüce gezegen  dış gezegen,,Güneş dışı gezegen,,iç gezegen,,küçük gezegen
gezegencik  gezegenimsi,,gezegenle  gezegenli,,gezegense  gezegensel,,gezegensi  gezegensiz
gezegenler arası,,gezegen yılı,,,,
,singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegen,gezegenler,,,,
definite accusative (belirtme),gezegeni,gezegenleri,,,,
dative (yönelme),gezegene,gezegenlere,,,,
locative (bulunma),gezegende,gezegenlerde,,,,
ablative (çıkma),gezegenden,gezegenlerden,,,,
genitive (tamlayan),gezegenin,gezegenlerin,,,,
benim (my),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegenim,gezegenlerim,,,,
definite accusative (belirtme),gezegenimi,gezegenlerimi,,,,
dative (yönelme),gezegenime,gezegenlerime,,,,
locative (bulunma),gezegenimde,gezegenlerimde,,,,
ablative (çıkma),gezegenimden,gezegenlerimden,,,,
genitive (tamlayan),gezegenimin,gezegenlerimin,,,,
senin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegenin,gezegenlerin,,,,
definite accusative (belirtme),gezegenini,gezegenlerini,,,,
dative (yönelme),gezegenine,gezegenlerine,,,,
locative (bulunma),gezegeninde,gezegenlerinde,,,,
ablative (çıkma),gezegeninden,gezegenlerinden,,,,
genitive (tamlayan),gezegeninin,gezegenlerinin,,,,
onun (her/his/its),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegeni,gezegenleri,,,,
definite accusative (belirtme),gezegenini,gezegenlerini,,,,
dative (yönelme),gezegenine,gezegenlerine,,,,
locative (bulunma),gezegeninde,gezegenlerinde,,,,
ablative (çıkma),gezegeninden,gezegenlerinden,,,,
genitive (tamlayan),gezegeninin,gezegenlerinin,,,,
bizim (our),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegenimiz,gezegenlerimiz,,,,
definite accusative (belirtme),gezegenimizi,gezegenlerimizi,,,,
dative (yönelme),gezegenimize,gezegenlerimize,,,,
locative (bulunma),gezegenimizde,gezegenlerimizde,,,,
ablative (çıkma),gezegenimizden,gezegenlerimizden,,,,
genitive (tamlayan),gezegenimizin,gezegenlerimizin,,,,
sizin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegeniniz,gezegenleriniz,,,,
definite accusative (belirtme),gezegeninizi,gezegenlerinizi,,,,
dative (yönelme),gezegeninize,gezegenlerinize,,,,
locative (bulunma),gezegeninizde,gezegenlerinizde,,,,
ablative (çıkma),gezegeninizden,gezegenlerinizden,,,,
genitive (tamlayan),gezegeninizin,gezegenlerinizin,,,,
onların (their),singular (tekil),plural (çoğul),,,,
nominative (yalın),gezegenleri,gezegenleri,,,,
definite accusative (belirtme),gezegenlerini,gezegenlerini,,,,
dative (yönelme),gezegenlerine,gezegenlerine,,,,
locative (bulunma),gezegenlerinde,gezegenlerinde,,,,
ablative (çıkma),gezegenlerinden,gezegenlerinden,,,,
genitive (tamlayan),gezegenlerinin,gezegenlerinin,,,,
