0,1,2,3,4,5,6,7
"Cognate with Old Turkic [script needed] ‎(toŋ-, “to freeze”), Azeri donmaq ‎(“to freeze”), Bashkir туңыу ‎(tuñïw, “to freeze”), Kazakh тоңу ‎(toñw, “to freeze”), Khakas тоорға ‎(toorğa, “to freeze”), Kyrgyz тоңуу ‎(toñuu, “to freeze”), Turkmen doňmak ‎(“to freeze”), Tuvan доңар ‎(doŋar, “to freeze”), Uyghur توڭماق ‎(tongmaq, “to freeze”), Uzbek toʻngmoq ‎(“to freeze”), Yakut тоҥ ‎(toŋ, “to freeze”).",,,,,,,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,donarım,donarsın,donar,donarız,donarsınız,donarlar
present continuous,donuyorum,donuyorsun,donuyor,donuyoruz,donuyorsunuz,donuyorlar,
past definite,dondum,dondun,dondu,donduk,dondunuz,dondular,
past continuous,donuyordum,donuyordun,donuyordu,donuyorduk,donuyordunuz,donuyorlardı,
future simple,donacağım,donacaksın,donacak,donacağız,donacaksınız,donacaklar,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,donar mıyım?,donar mısın?,donar mı?,donar mıyız?,donar mısınız?,donarlar mı?
present continuous,donuyor muyum?,donuyor musun?,donuyor mu?,donuyor muyuz?,donuyor musunuz?,donuyorlar mı?,
past definite,dondum mu?,dondun mu?,dondu mu?,donduk mu?,dondunuz mu?,dondular mu?,
past continuous,donuyor muydum?,donuyor muydun?,donuyor muydu?,donuyor muyduk?,donuyor muydunuz?,donuyorlar mıydı?,
future simple,donacak mıyım?,donacak mısın?,donacak mı?,donacak mıyız?,donacak mısınız?,donacaklar mı?,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,donmam,donmazsın,donmaz,donmayız,donmazsınız,donmazlar
present continuous,donmuyorum,donmuyorsun,donmuyor,donmuyoruz,donmuyorsunuz,donmuyorlar,
past definite,donmadım,donmadın,donmadı,donmadık,donmadınız,donmadılar,
past continuous,donmuyordum,donmuyordun,donmuyordu,donmuyorduk,donmuyordunuz,donmuyordular,
future simple,donmayacağım,donmayacaksın,donmayacak,donmayacağız,donmayacaksınız,donmayacaklar,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,donmaz mıyım?,donmaz mısın?,donmaz mı?,donmaz mıyız?,donmaz mısınız?,donmazlar mı?
present continuous,donmuyor muyum?,donmuyor musun?,donmuyor mu?,donmuyor muyuz?,donmuyor musunuz?,donmuyorlar mı?,
past definite,donmadım mı?,donmadın mı?,donmadı mı?,donmadık mı?,donmadınız mı?,donmadılar mı?,
past continuous,donmuyor muydum?,donmuyor muydun?,donmuyor muydu?,donmuyor muyduk?,donmuyor muydunuz?,donmuyorlar mıydı?,
future simple,donmayacak mıyım?,donmayacak mısın?,donmayacak mı?,donmayacak mıyız?,donmayacak mısınız?,donmayacaklar mı?,
