0,1,2
Audio,,(file)
perfective aspect,,
infinitive,да́ти (dáty),
participles,present tense,past tense
active,—,—
passive,—,да́ний (dányj)impersonal: да́но (dáno)
adverbial,—,да́вши (dávšy)
,present tense,future tense
1st singular я,—,дам (dam)
2nd singular ти,—,даси́ (dasý)
3rd singular він / вона / воно,—,дасть (dastʹ)
1st plural ми,—,дамо́ (damó)
2nd plural ви,—,дасте́ (dasté)
3rd plural вони,—,даду́ть (dadútʹ)
imperative,singular,plural
first-person,—,да́ймо (dájmo)
second-person,дай (daj),да́йте (dájte)
past tense,singular,plural ми / ви / вони
masculine я / ти / він,дав (dav),дали́ (dalý)
feminine я / ти / вона,дала́ (dalá),
neuter воно,дало́ (daló),
