0,1,2
PIE root,,
*ǵneh₃-,,
Audio,,(file)
imperfective aspect,,
infinitive,зна́ти (znáty),
participles,present tense,past tense
active,зна́ючий (znájučyj),—
passive,—,зна́ний (znányj)impersonal: зна́но (znáno)
adverbial,зна́ючи (znájučy),зна́вши (znávšy)
,present tense,future tense
1st singular я,зна́ю (znáju),бу́ду зна́ти (búdu znáty) зна́тиму (znátymu)
2nd singular ти,зна́єш (znáješ),бу́деш зна́ти (búdeš znáty) зна́тимеш (znátymeš)
3rd singular він / вона / воно,зна́є (znáje),бу́де зна́ти (búde znáty) зна́тиме (znátyme)
1st plural ми,зна́ємо (znájemo),бу́демо зна́ти (búdemo znáty) зна́тимемо (znátymemo)
2nd plural ви,зна́єте (znájete),бу́дете зна́ти (búdete znáty) зна́тимете (znátymete)
3rd plural вони,зна́ють (znájutʹ),бу́дуть зна́ти (búdutʹ znáty) зна́тимуть (znátymutʹ)
imperative,singular,plural
first-person,—,зна́ймо (znájmo)
second-person,знай (znaj),зна́йте (znájte)
past tense,singular,plural ми / ви / вони
masculine я / ти / він,знав (znav),зна́ли (znály)
feminine я / ти / вона,зна́ла (znála),
neuter воно,зна́ло (ználo),
