0,1,2
Other scripts,,
Cyrillic,қулоқ‍,
Roman,quloq‍,
Perso-Arabic,‍‍,
,singular,plural
nominative,quloq,quloqlar
genitive,quloqning,quloqlarning
dative,quloqqa,quloqlarga
accusative,quloqni,quloqlarni
locative,quloqda,quloqlarda
ablative,quloqdan,quloqlardan
my,singular,plural
nominative,quloqim,quloqlarim
genitive,quloqimning,quloqlarimning
dative,quloqimga,quloqlarimga
accusative,quloqimni,quloqlarimni
locative,quloqimda,quloqlarimda
ablative,quloqimdan,quloqlarimdan
your,singular,plural
nominative,quloqing,quloqlaring
genitive,quloqingning,quloqlaringning
dative,quloqingga,quloqlaringga
accusative,quloqingni,quloqlaringni
locative,quloqingda,quloqlaringda
ablative,quloqingdan,quloqlaringdan
her/his/its,singular,plural
nominative,quloqi,quloqlari
genitive,quloqining,quloqlarining
dative,quloqiga,quloqlariga
accusative,quloqini,quloqlarini
locative,quloqida,quloqlarida
ablative,quloqidan,quloqlaridan
our,singular,plural
nominative,quloqimiz,quloqlarimiz
genitive,quloqimizning,quloqlarimizning
dative,quloqimizga,quloqlarimizga
accusative,quloqimizni,quloqlarimizni
locative,quloqimizda,quloqlarimizda
ablative,quloqimizdan,quloqlarimizdan
your,singular,plural
nominative,quloqingiz,quloqlaringiz
genitive,quloqingizning,quloqlaringizning
dative,quloqingizga,quloqlaringizga
accusative,quloqingizni,quloqlaringizni
locative,quloqingizda,quloqlaringizda
ablative,quloqingizdan,quloqlaringizdan
their,singular,plural
nominative,quloqi,quloqlari
genitive,quloqining,quloqlarining
dative,quloqiga,quloqlariga
accusative,quloqini,quloqlarini
locative,quloqida,quloqlarida
ablative,quloqidan,quloqlaridan
