0,1,2,3,4,5,6,7
Audio,,(file),,,,,
Literary forms,singular,plural,impersonal,,,,
first,second,third,first,second,third,,
present/future,caf,cei,caiff,cawn,cewch,cânt,ceir
imperfect/conditional,cawn,"cait, caet",câi,caem,caech,caent,ceid
preterite,"cefais, ces","cefaist, cest","cafodd, cas,cafas (obsolete),cadd (poetic)",cawsom,cawsoch,cawsant,"cafwyd, caed, cad"
pluperfect,cawswn,cawsit,cawsai,cawsem,cawsech,cawsent,cawsid
present subjunctive,caffwyf,ceffych,caffo,caffom,caffoch,caffont,caffer
imperfect subjunctive,"caffwn, cawn","caffit, cait","caffai, câi","caffem, caem","caffech, caech","caffent, caent",ceffid
imperative,—,ca,"caffed, caed",cawn,cewch,"caffent, caent","caffer, caer"
verbal noun,"cael, caffael, caffel",,,,,,
verbal adjectives,caffaeledigcaffaeladwy,,,,,,
Inflected colloquial forms,singular,plural,,,,,
first,second,third,first,second,third,,
preterite,ces i,cest ti,caeth o/e/hicafodd o/e/hi,caethon nicafon nicawson ni,caethoch chicafoch chicawsoch chi,caethon nhwcafon nhwcawson nhw,
future,ca i,cei di,ceith o/e/hicaiff e/hi,cawn nicewn ni,cewch chi,cân nhw,
conditional,cawn icelwn i,caet ticelet ti,câi fo/fe/hicelai fe/hi,caen nicelen ni,caech chicelech chi,caen nhwcelen nhw,
imperative,—,ceicymer,—,—,cewchcymerwch,—,
"Note: All other forms are periphrastic, as usual in colloquial Welsh.",,,,,,,
Welsh mutation,,,,,,,
radical,soft,nasal,aspirate,,,,
cael,gael,nghael,chael,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,
