0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
infinitive,V;NFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present participle,V.PTCP;PRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,V.PTCP;PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auxiliary,האָבןhobn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present,V;FIN;PRES;1;SG,V;FIN;PRES;1;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V;FIN;PRES;2;SG,V;FIN;PRES;2;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V;FIN;PRES;3;SG,V;FIN;PRES;3;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperative,V;FIN;IMP;2;SG,V;FIN;IMP;2;PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composed forms  past  איך האָב געליבטikh hob gelibt  מיר האָבן געליבטmir hobn gelibt  דו האָסט געליבטdu host gelibt  איר האָט געליבטir hot gelibt  ער האָט געליבטer hot gelibt  זיי האָבן געליבטzey hobn gelibt  pluperfect  איך האָב געהאַט געליבטikh hob gehat gelibt  מיר האָבן געהאַט געליבטmir hobn gehat gelibt  דו האָסט געהאַט געליבטdu host gehat gelibt  איר האָט געהאַט געליבטir hot gehat gelibt  ער האָט געהאַט געליבטer hot gehat gelibt  זיי האָבן געהאַט געליבטzey hobn gehat gelibt  future  איך וועל ליבןikh vel libn  מיר וועלן ליבןmir veln libn  דו וועסט ליבןdu vest libn  איר וועט ליבןir vet libn  ער וועט ליבןer vet libn  זיי וועלן ליבןzey veln libn  future perfect  איך וועל האָבן געליבטikh vel hobn gelibt  מיר וועלן האָבן געליבטmir veln hobn gelibt  דו וועסט האָבן געליבטdu vest hobn gelibt  איר וועט האָבן געליבטir vet hobn gelibt  ער וועט האָבן געליבטer vet hobn gelibt  זיי וועלן האָבן געליבטzey veln hobn gelibt,past,איך האָב געליבטikh hob gelibt,מיר האָבן געליבטmir hobn gelibt,דו האָסט געליבטdu host gelibt,איר האָט געליבטir hot gelibt,ער האָט געליבטer hot gelibt,זיי האָבן געליבטzey hobn gelibt,,pluperfect,איך האָב געהאַט געליבטikh hob gehat gelibt,מיר האָבן געהאַט געליבטmir hobn gehat gelibt,דו האָסט געהאַט געליבטdu host gehat gelibt,איר האָט געהאַט געליבטir hot gehat gelibt,ער האָט געהאַט געליבטer hot gehat gelibt,זיי האָבן געהאַט געליבטzey hobn gehat gelibt,,future,איך וועל ליבןikh vel libn,מיר וועלן ליבןmir veln libn,דו וועסט ליבןdu vest libn,איר וועט ליבןir vet libn,ער וועט ליבןer vet libn,זיי וועלן ליבןzey veln libn,,future perfect,איך וועל האָבן געליבטikh vel hobn gelibt,מיר וועלן האָבן געליבטmir veln hobn gelibt,דו וועסט האָבן געליבטdu vest hobn gelibt,איר וועט האָבן געליבטir vet hobn gelibt,ער וועט האָבן געליבטer vet hobn gelibt,זיי וועלן האָבן געליבטzey veln hobn gelibt
past,איך האָב געליבטikh hob gelibt,מיר האָבן געליבטmir hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געליבטdu host gelibt,איר האָט געליבטir hot gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געליבטer hot gelibt,זיי האָבן געליבטzey hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pluperfect,איך האָב געהאַט געליבטikh hob gehat gelibt,מיר האָבן געהאַט געליבטmir hobn gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געהאַט געליבטdu host gehat gelibt,איר האָט געהאַט געליבטir hot gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געהאַט געליבטer hot gehat gelibt,זיי האָבן געהאַט געליבטzey hobn gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,איך וועל ליבןikh vel libn,מיר וועלן ליבןmir veln libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט ליבןdu vest libn,איר וועט ליבןir vet libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט ליבןer vet libn,זיי וועלן ליבןzey veln libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future perfect,איך וועל האָבן געליבטikh vel hobn gelibt,מיר וועלן האָבן געליבטmir veln hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט האָבן געליבטdu vest hobn gelibt,איר וועט האָבן געליבטir vet hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט האָבן געליבטer vet hobn gelibt,זיי וועלן האָבן געליבטzey veln hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
past,איך האָב געליבטikh hob gelibt,מיר האָבן געליבטmir hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געליבטdu host gelibt,איר האָט געליבטir hot gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געליבטer hot gelibt,זיי האָבן געליבטzey hobn gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pluperfect,איך האָב געהאַט געליבטikh hob gehat gelibt,מיר האָבן געהאַט געליבטmir hobn gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו האָסט געהאַט געליבטdu host gehat gelibt,איר האָט געהאַט געליבטir hot gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער האָט געהאַט געליבטer hot gehat gelibt,זיי האָבן געהאַט געליבטzey hobn gehat gelibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,איך וועל ליבןikh vel libn,מיר וועלן ליבןmir veln libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דו וועסט ליבןdu vest libn,איר וועט ליבןir vet libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ער וועט ליבןer vet libn,זיי וועלן ליבןzey veln libn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
