0,1,2,3,4,5,6,7,8
Number,Singular,,Dual,,Plural,,,
Case / Gender,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter
Nominative,ᾠώδης,ᾠῶδες,,ᾠώδεε,ᾠώδεε,,ᾠώδεες,ᾠώδεα
Genitive,ᾠώδεος,ᾠώδεος,,ᾠωδέοιν,ᾠωδέοιν,,ᾠωδέων,ᾠωδέων
Dative,ᾠώδεϊ,ᾠώδεϊ,,ᾠωδέοιν,ᾠωδέοιν,,ᾠώδεσσι(ν),ᾠώδεσσι(ν)
Accusative,ᾠώδεα,ᾠῶδες,,ᾠώδεε,ᾠώδεε,,ᾠώδεες,ᾠώδεα
Vocative,ᾠῶδες,ᾠῶδες,,ᾠώδεε,ᾠώδεε,,ᾠώδεες,ᾠώδεα
,,,,,,,,
Number,Singular,,Dual,,Plural,,,
Case / Gender,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter
Nominative,ᾠώδης,ᾠῶδες,,ᾠώδει,ᾠώδει,,ᾠώδεις,ᾠώδη
Genitive,"ᾠώδους, ᾠώδευς","ᾠώδους, ᾠώδευς",,ᾠώδοιν,ᾠώδοιν,,ᾠωδῶν,ᾠωδῶν
Dative,ᾠώδει,ᾠώδει,,ᾠώδοιν,ᾠώδοιν,,ᾠώδεσι(ν),ᾠώδεσι(ν)
Accusative,ᾠώδη,ᾠῶδες,,ᾠώδει,ᾠώδει,,ᾠώδεις,ᾠώδη
Vocative,ᾠῶδες,ᾠῶδες,,ᾠώδει,ᾠώδει,,ᾠώδεις,ᾠώδη
,,,,,,,,
