0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ὀλιγαρχῐκός,ὀλιγαρχῐκή,ὀλιγαρχῐκόν,,ὀλιγαρχῐκώ,ὀλιγαρχῐκᾱ́,ὀλιγαρχῐκώ,,ὀλιγαρχῐκοί,ὀλιγαρχῐκαί,ὀλιγαρχῐκᾰ́
Genitive,ὀλιγαρχῐκοῦ,ὀλιγαρχῐκῆς,ὀλιγαρχῐκοῦ,,ὀλιγαρχῐκοῖν,ὀλιγαρχῐκαῖν,ὀλιγαρχῐκοῖν,,ὀλιγαρχῐκῶν,ὀλιγαρχῐκῶν,ὀλιγαρχῐκῶν
Dative,ὀλιγαρχῐκῷ,ὀλιγαρχῐκῇ,ὀλιγαρχῐκῷ,,ὀλιγαρχῐκοῖν,ὀλιγαρχῐκαῖν,ὀλιγαρχῐκοῖν,,ὀλιγαρχῐκοῖς,ὀλιγαρχῐκαῖς,ὀλιγαρχῐκοῖς
Accusative,ὀλιγαρχῐκόν,ὀλιγαρχῐκήν,ὀλιγαρχῐκόν,,ὀλιγαρχῐκώ,ὀλιγαρχῐκᾱ́,ὀλιγαρχῐκώ,,ὀλιγαρχῐκούς,ὀλιγαρχῐκᾱ́ς,ὀλιγαρχῐκᾰ́
Vocative,ὀλιγαρχῐκέ,ὀλιγαρχῐκή,ὀλιγαρχῐκόν,,ὀλιγαρχῐκώ,ὀλιγαρχῐκᾱ́,ὀλιγαρχῐκώ,,ὀλιγαρχῐκοί,ὀλιγαρχῐκαί,ὀλιγαρχῐκᾰ́
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ὀλιγαρχῐκῶς,,ὀλιγαρχῐκώτερος,,ὀλιγαρχῐκώτᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Asturian: oligárquicu  English: oligarchic  French: oligarchique  Greek: ολιγαρχικός ‎(oligarchikós),,Italian: oligarchico  Latin oligarchicus  Portuguese: oligárquico  Spanish: oligárquico,,,,,,,,,
