0,1,2,3,4
Case / #,Singular,Dual,Plural,
Nominative,ὁδός,ὁδώ,ὁδοί,
Genitive,ὁδοῦ,ὁδοῖν,ὁδῶν,
Dative,ὁδῷ,ὁδοῖν,ὁδοῖς,
Accusative,ὁδόν,ὁδώ,ὁδούς,
Vocative,ὁδέ,ὁδώ,ὁδοί,
,,,,
Dialectal forms:,,,,
Notes:,,,,
δίοδος ‎(díodos)  δύσοδος ‎(dúsodos)  εὔοδος ‎(eúodos)  εἴσοδος ‎(eísodos)  κάθοδος ‎(káthodos)  μέθοδος ‎(méthodos),,ἄνοδος ‎(ánodos)  ἔνοδος ‎(énodos)  ἔξοδος ‎(éxodos)  πάροδος ‎(párodos)  περίοδος ‎(períodos)  ἄποδος ‎(ápodos),,πρόοδος ‎(próodos)  πρόσοδος ‎(prósodos)  σύνοδος ‎(súnodos)  τρίοδος ‎(tríodos)  ἄφοδος ‎(áphodos)  ἔφοδος ‎(éphodos)
