0,1,2,3,4
Singular,Masculine,Feminine,,
basic singular triptote,singular triptote in ـَة ‎(-a),,,
Indefinite,Definite,Indefinite,Definite,
Informal,مَعْقُولmaʿqūl,الْمَعْقُولal-maʿqūl,مَعْقُولَةmaʿqūla,الْمَعْقُولَةal-maʿqūla
Nominative,مَعْقُولٌmaʿqūlun,الْمَعْقُولُal-maʿqūlu,مَعْقُولَةٌmaʿqūlatun,الْمَعْقُولَةُal-maʿqūlatu
Accusative,مَعْقُولًاmaʿqūlan,الْمَعْقُولَal-maʿqūla,مَعْقُولَةًmaʿqūlatan,الْمَعْقُولَةَal-maʿqūlata
Genitive,مَعْقُولٍmaʿqūlin,الْمَعْقُولِal-maʿqūli,مَعْقُولَةٍmaʿqūlatin,الْمَعْقُولَةِal-maʿqūlati
Dual,Masculine,Feminine,,
Indefinite,Definite,Indefinite,Definite,
Informal,مَعْقُولَيْنmaʿqūlayn,الْمَعْقُولَيْنal-maʿqūlayn,مَعْقُولَتَيْنmaʿqūlatayn,الْمَعْقُولَتَيْنal-maʿqūlatayn
Nominative,مَعْقُولَانِmaʿqūlāni,الْمَعْقُولَانِal-maʿqūlāni,مَعْقُولَتَانِmaʿqūlatāni,الْمَعْقُولَتَانِal-maʿqūlatāni
Accusative,مَعْقُولَيْنِmaʿqūlayni,الْمَعْقُولَيْنِal-maʿqūlayni,مَعْقُولَتَيْنِmaʿqūlatayni,الْمَعْقُولَتَيْنِal-maʿqūlatayni
Genitive,مَعْقُولَيْنِmaʿqūlayni,الْمَعْقُولَيْنِal-maʿqūlayni,مَعْقُولَتَيْنِmaʿqūlatayni,الْمَعْقُولَتَيْنِal-maʿqūlatayni
Plural,Masculine,Feminine,,
plural unknown,sound feminine plural,,,
Indefinite,Definite,Indefinite,Definite,
Informal,??,??,مَعْقُولَاتmaʿqūlāt,الْمَعْقُولَاتal-maʿqūlāt
Nominative,??,??,مَعْقُولَاتٌmaʿqūlātun,الْمَعْقُولَاتُal-maʿqūlātu
Accusative,??,??,مَعْقُولَاتٍmaʿqūlātin,الْمَعْقُولَاتِal-maʿqūlāti
Genitive,??,??,مَعْقُولَاتٍmaʿqūlātin,الْمَعْقُولَاتِal-maʿqūlāti
Persian: معقول ‎(ma'qul)  Tajik: маъқул ‎(maʾqul),,Turkish: makul,,
Singular,basic singular triptote,,,
Indefinite,Definite,Construct,,
Informal,مَعْقُولmaʿqūl,الْمَعْقُولal-maʿqūl,مَعْقُولmaʿqūl,
Nominative,مَعْقُولٌmaʿqūlun,الْمَعْقُولُal-maʿqūlu,مَعْقُولُmaʿqūlu,
Accusative,مَعْقُولًاmaʿqūlan,الْمَعْقُولَal-maʿqūla,مَعْقُولَmaʿqūla,
Genitive,مَعْقُولٍmaʿqūlin,الْمَعْقُولِal-maʿqūli,مَعْقُولِmaʿqūli,
