0,1,2,3,4,5,6,7,8,9
Audio,,(file),,,,,,,
verbal nounالْمَصْدَر,وُجُودwujūd,,,,,,,,
active participleاِسْم الْفَاعِل,وَاجِدwājid,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَوْجُودmawjūd,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,وَجَدْتُwajadtu,وَجَدْتَwajadta,وَجَدَwajada,وَجَدْتُمَاwajadtumā,وَجَدَاwajadā,وَجَدْنَاwajadnā,وَجَدْتُمْwajadtum,وَجَدُواwajadū
f,وَجَدْتِwajadti,وَجَدَتْwajadat,وَجَدَتَاwajadatā,وَجَدْتُنَّwajadtunna,وَجَدْنَwajadna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَجِدُʾajidu,تَجِدُtajidu,يَجِدُyajidu,تَجِدَانِtajidāni,يَجِدَانِyajidāni,نَجِدُnajidu,تَجِدُونَtajidūna,يَجِدُونَyajidūna
f,تَجِدِينَtajidīna,تَجِدُtajidu,تَجِدَانِtajidāni,تَجِدْنَtajidna,يَجِدْنَyajidna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَجِدَʾajida,تَجِدَtajida,يَجِدَyajida,تَجِدَاtajidā,يَجِدَاyajidā,نَجِدَnajida,تَجِدُوtajidū,يَجِدُوyajidū
f,تَجِدِيtajidī,تَجِدَtajida,تَجِدَاtajidā,تَجِدْنَtajidna,يَجِدْنَyajidna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَجِدْʾajid,تَجِدْtajid,يَجِدْyajid,تَجِدَاtajidā,يَجِدَاyajidā,نَجِدْnajid,تَجِدُوtajidū,يَجِدُوyajidū
f,تَجِدِيtajidī,تَجِدْtajid,تَجِدَاtajidā,تَجِدْنَtajidna,يَجِدْنَyajidna,,,,
imperativeالْأَمْر,m,,جِدْjid,,جِدَاjidā,,,جِدُوjidū,
f,جِدِيjidī,جِدْنَjidna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,وُجِدْتُwujidtu,وُجِدْتَwujidta,وُجِدَwujida,وُجِدْتُمَاwujidtumā,وُجِدَاwujidā,وُجِدْنَاwujidnā,وُجِدْتُمْwujidtum,وُجِدُواwujidū
f,وُجِدْتِwujidti,وُجِدَتْwujidat,وُجِدَتَاwujidatā,وُجِدْتُنَّwujidtunna,وُجِدْنَwujidna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُوجَدُʾūjadu,تُوجَدُtūjadu,يُوجَدُyūjadu,تُوجَدَانِtūjadāni,يُوجَدَانِyūjadāni,نُوجَدُnūjadu,تُوجَدُونَtūjadūna,يُوجَدُونَyūjadūna
f,تُوجَدِينَtūjadīna,تُوجَدُtūjadu,تُوجَدَانِtūjadāni,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُوجَدَʾūjada,تُوجَدَtūjada,يُوجَدَyūjada,تُوجَدَاtūjadā,يُوجَدَاyūjadā,نُوجَدَnūjada,تُوجَدُوtūjadū,يُوجَدُوyūjadū
f,تُوجَدِيtūjadī,تُوجَدَtūjada,تُوجَدَاtūjadā,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُوجَدْʾūjad,تُوجَدْtūjad,يُوجَدْyūjad,تُوجَدَاtūjadā,يُوجَدَاyūjadā,نُوجَدْnūjad,تُوجَدُوtūjadū,يُوجَدُوyūjadū
f,تُوجَدِيtūjadī,تُوجَدْtūjad,تُوجَدَاtūjadā,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
verbal nounالْمَصْدَر,وُجُودwujūd,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَوْجُودmawjūd,,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,وُجِدْتُwujidtu,وُجِدْتَwujidta,وُجِدَwujida,وُجِدْتُمَاwujidtumā,وُجِدَاwujidā,وُجِدْنَاwujidnā,وُجِدْتُمْwujidtum,وُجِدُواwujidū
f,وُجِدْتِwujidti,وُجِدَتْwujidat,وُجِدَتَاwujidatā,وُجِدْتُنَّwujidtunna,وُجِدْنَwujidna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُوجَدُʾūjadu,تُوجَدُtūjadu,يُوجَدُyūjadu,تُوجَدَانِtūjadāni,يُوجَدَانِyūjadāni,نُوجَدُnūjadu,تُوجَدُونَtūjadūna,يُوجَدُونَyūjadūna
f,تُوجَدِينَtūjadīna,تُوجَدُtūjadu,تُوجَدَانِtūjadāni,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُوجَدَʾūjada,تُوجَدَtūjada,يُوجَدَyūjada,تُوجَدَاtūjadā,يُوجَدَاyūjadā,نُوجَدَnūjada,تُوجَدُوtūjadū,يُوجَدُوyūjadū
f,تُوجَدِيtūjadī,تُوجَدَtūjada,تُوجَدَاtūjadā,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُوجَدْʾūjad,تُوجَدْtūjad,يُوجَدْyūjad,تُوجَدَاtūjadā,يُوجَدَاyūjadā,نُوجَدْnūjad,تُوجَدُوtūjadū,يُوجَدُوyūjadū
f,تُوجَدِيtūjadī,تُوجَدْtūjad,تُوجَدَاtūjadā,تُوجَدْنَtūjadna,يُوجَدْنَyūjadna,,,,
verbal nounالْمَصْدَر,وَجْدwajd,,,,,,,,
active participleاِسْم الْفَاعِل,وَاجِدwājid,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَوْجُودmawjūd,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
