0,1,2,3,4
Singular,basic singular triptote,,,
Indefinite,Definite,Construct,,
Informal,نَقِيضnaqīḍ,النَّقِيضan-naqīḍ,نَقِيضnaqīḍ,
Nominative,نَقِيضٌnaqīḍun,النَّقِيضُan-naqīḍu,نَقِيضُnaqīḍu,
Accusative,نَقِيضًاnaqīḍan,النَّقِيضَan-naqīḍa,نَقِيضَnaqīḍa,
Genitive,نَقِيضٍnaqīḍin,النَّقِيضِan-naqīḍi,نَقِيضِnaqīḍi,
Singular,Masculine,Feminine,,
basic singular triptote,singular triptote in ـَة ‎(-a),,,
Indefinite,Definite,Indefinite,Definite,
Informal,نَقِيضnaqīḍ,النَّقِيضan-naqīḍ,نَقِيضَةnaqīḍa,النَّقِيضَةan-naqīḍa
Nominative,نَقِيضٌnaqīḍun,النَّقِيضُan-naqīḍu,نَقِيضَةٌnaqīḍatun,النَّقِيضَةُan-naqīḍatu
Accusative,نَقِيضًاnaqīḍan,النَّقِيضَan-naqīḍa,نَقِيضَةًnaqīḍatan,النَّقِيضَةَan-naqīḍata
Genitive,نَقِيضٍnaqīḍin,النَّقِيضِan-naqīḍi,نَقِيضَةٍnaqīḍatin,النَّقِيضَةِan-naqīḍati
Dual,Masculine,Feminine,,
Indefinite,Definite,Indefinite,Definite,
Informal,نَقِيضَيْنnaqīḍayn,النَّقِيضَيْنan-naqīḍayn,نَقِيضَتَيْنnaqīḍatayn,النَّقِيضَتَيْنan-naqīḍatayn
Nominative,نَقِيضَانِnaqīḍāni,النَّقِيضَانِan-naqīḍāni,نَقِيضَتَانِnaqīḍatāni,النَّقِيضَتَانِan-naqīḍatāni
Accusative,نَقِيضَيْنِnaqīḍayni,النَّقِيضَيْنِan-naqīḍayni,نَقِيضَتَيْنِnaqīḍatayni,النَّقِيضَتَيْنِan-naqīḍatayni
Genitive,نَقِيضَيْنِnaqīḍayni,النَّقِيضَيْنِan-naqīḍayni,نَقِيضَتَيْنِnaqīḍatayni,النَّقِيضَتَيْنِan-naqīḍatayni
Plural,Masculine,Feminine,,
plural unknown,sound feminine plural,,,
Indefinite,Definite,Indefinite,Definite,
Informal,??,??,نَقِيضَاتnaqīḍāt,النَّقِيضَاتan-naqīḍāt
Nominative,??,??,نَقِيضَاتٌnaqīḍātun,النَّقِيضَاتُan-naqīḍātu
Accusative,??,??,نَقِيضَاتٍnaqīḍātin,النَّقِيضَاتِan-naqīḍāti
Genitive,??,??,نَقِيضَاتٍnaqīḍātin,النَّقِيضَاتِan-naqīḍāti
