0,1,2,3
Singular,singular triptote in ـَة ‎(-a),,
Indefinite,Definite,Construct,
Informal,يَهُودِيَّةyahūdiyya,الْيَهُودِيَّةal-yahūdiyya,يَهُودِيَّةyahūdiyyat
Nominative,يَهُودِيَّةٌyahūdiyyatun,الْيَهُودِيَّةُal-yahūdiyyatu,يَهُودِيَّةُyahūdiyyatu
Accusative,يَهُودِيَّةًyahūdiyyatan,الْيَهُودِيَّةَal-yahūdiyyata,يَهُودِيَّةَyahūdiyyata
Genitive,يَهُودِيَّةٍyahūdiyyatin,الْيَهُودِيَّةِal-yahūdiyyati,يَهُودِيَّةِyahūdiyyati
Dual,Indefinite,Definite,Construct
Informal,يَهُودِيَّتَيْنyahūdiyyatayn,الْيَهُودِيَّتَيْنal-yahūdiyyatayn,يَهُودِيَّتَيْyahūdiyyatay
Nominative,يَهُودِيَّتَانِyahūdiyyatāni,الْيَهُودِيَّتَانِal-yahūdiyyatāni,يَهُودِيَّتَاyahūdiyyatā
Accusative,يَهُودِيَّتَيْنِyahūdiyyatayni,الْيَهُودِيَّتَيْنِal-yahūdiyyatayni,يَهُودِيَّتَيْyahūdiyyatay
Genitive,يَهُودِيَّتَيْنِyahūdiyyatayni,الْيَهُودِيَّتَيْنِal-yahūdiyyatayni,يَهُودِيَّتَيْyahūdiyyatay
Plural,sound feminine plural,,
Indefinite,Definite,Construct,
Informal,يَهُودِيَّاتyahūdiyyāt,الْيَهُودِيَّاتal-yahūdiyyāt,يَهُودِيَّاتyahūdiyyāt
Nominative,يَهُودِيَّاتٌyahūdiyyātun,الْيَهُودِيَّاتُal-yahūdiyyātu,يَهُودِيَّاتُyahūdiyyātu
Accusative,يَهُودِيَّاتٍyahūdiyyātin,الْيَهُودِيَّاتِal-yahūdiyyāti,يَهُودِيَّاتِyahūdiyyāti
Genitive,يَهُودِيَّاتٍyahūdiyyātin,الْيَهُودِيَّاتِal-yahūdiyyāti,يَهُودِيَّاتِyahūdiyyāti
