0,1,2,3,4,5,6,7,8,9
Audio,,(file),,,,,,,
verbal nounsالْمَصَادِر,صَدْر or صُدُور or مَصْدَرṣadr or ṣudūr or maṣdar,,,,,,,,
active participleاِسْم الْفَاعِل,صَادِرṣādir,,,,,,,,
passive participleاِسْم الْامَفْعُول,مَصْدُورmaṣdūr,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,صَدَرْتُṣadartu,صَدَرْتَṣadarta,صَدَرَṣadara,صَدَرْتُمَاṣadartumā,صَدَرَاṣadarā,صَدَرْنَاṣadarnā,صَدَرْتُمْṣadartum,صَدَرُواṣadarū
f,صَدَرْتِṣadarti,صَدَرَتْṣadarat,صَدَرَتَاṣadaratā,صَدَرْتُنَّṣadartunna,صَدَرْنَṣadarna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَصْدُرُ or أَصْدِرُʾaṣduru or ʾaṣdiru,تَصْدُرُ or تَصْدِرُtaṣduru or taṣdiru,يَصْدُرُ or يَصْدِرُyaṣduru or yaṣdiru,تَصْدُرَانِ or تَصْدِرَانِtaṣdurāni or taṣdirāni,يَصْدُرَانِ or يَصْدِرَانِyaṣdurāni or yaṣdirāni,نَصْدُرُ or نَصْدِرُnaṣduru or naṣdiru,تَصْدُرُونَ or تَصْدِرُونَtaṣdurūna or taṣdirūna,يَصْدُرُونَ or يَصْدِرُونَyaṣdurūna or yaṣdirūna
f,تَصْدُرِينَ or تَصْدِرِينَtaṣdurīna or taṣdirīna,تَصْدُرُ or تَصْدِرُtaṣduru or taṣdiru,تَصْدُرَانِ or تَصْدِرَانِtaṣdurāni or taṣdirāni,تَصْدُرْنَ or تَصْدِرْنَtaṣdurna or taṣdirna,يَصْدُرْنَ or يَصْدِرْنَyaṣdurna or yaṣdirna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَصْدُرَ or أَصْدِرَʾaṣdura or ʾaṣdira,تَصْدُرَ or تَصْدِرَtaṣdura or taṣdira,يَصْدُرَ or يَصْدِرَyaṣdura or yaṣdira,تَصْدُرَا or تَصْدِرَاtaṣdurā or taṣdirā,يَصْدُرَا or يَصْدِرَاyaṣdurā or yaṣdirā,نَصْدُرَ or نَصْدِرَnaṣdura or naṣdira,تَصْدُرُو or تَصْدِرُوtaṣdurū or taṣdirū,يَصْدُرُو or يَصْدِرُوyaṣdurū or yaṣdirū
f,تَصْدُرِي or تَصْدِرِيtaṣdurī or taṣdirī,تَصْدُرَ or تَصْدِرَtaṣdura or taṣdira,تَصْدُرَا or تَصْدِرَاtaṣdurā or taṣdirā,تَصْدُرْنَ or تَصْدِرْنَtaṣdurna or taṣdirna,يَصْدُرْنَ or يَصْدِرْنَyaṣdurna or yaṣdirna,,,,
