0,1,2,3
,singular,,plural
nominative,ոյծ ‎(oyc),ոյծք ‎(oyckʿ),
genitive,ոյծի ‎(oyci),? ‎(?),
dative,ոյծի ‎(oyci),? ‎(?),
accusative,ոյծ ‎(oyc),ոյծս ‎(oycs),
ablative,ոյծէ ‎(oycē),? ‎(?),
instrumental,? ‎(?),? ‎(?),
locative,ոյծի ‎(oyci),ոյծս ‎(oycs),
"the instrumental singular and the genitive/dative/instrumental plural are not attested, which does not allow determining whether the word followed an i-type or an i-a-type declension",,,
ուծակեր ‎(ucaker)  ուծանամ ‎(ucanam),,ուծացուցանեմ ‎(ucacʿucʿanem)  ուծութիւն ‎(ucutʿiwn),
