0,1,2,3,4
Audio,,(file),,
,singular,plural,,
nominative,երջանիկ ‎(erǰanik),երջանիկներ ‎(erǰanikner),,
dative,երջանիկի ‎(erǰaniki),երջանիկների ‎(erǰanikneri),,
ablative,երջանիկից ‎(erǰanikicʿ),երջանիկներից ‎(erǰaniknericʿ),,
instrumental,երջանիկով ‎(erǰanikov),երջանիկներով ‎(erǰaniknerov),,
locative,—,—,,
,definite forms,,,
nominative,երջանիկը/երջանիկն ‎(erǰanikə/erǰanikn),երջանիկները/երջանիկներն ‎(erǰaniknerə/erǰaniknern),,
dative,երջանիկին ‎(erǰanikin),երջանիկներին ‎(erǰaniknerin),,
,1st person possessive forms (my),,,
nominative,երջանիկս ‎(erǰaniks),երջանիկներս ‎(erǰanikners),,
dative,երջանիկիս ‎(erǰanikis),երջանիկներիս ‎(erǰanikneris),,
ablative,երջանիկիցս ‎(erǰanikicʿs),երջանիկներիցս ‎(erǰaniknericʿs),,
instrumental,երջանիկովս ‎(erǰanikovs),երջանիկներովս ‎(erǰaniknerovs),,
locative,—,—,,
,2nd person possessive forms (your),,,
nominative,երջանիկդ ‎(erǰanikd),երջանիկներդ ‎(erǰaniknerd),,
dative,երջանիկիդ ‎(erǰanikid),երջանիկներիդ ‎(erǰaniknerid),,
ablative,երջանիկիցդ ‎(erǰanikicʿd),երջանիկներիցդ ‎(erǰaniknericʿd),,
instrumental,երջանիկովդ ‎(erǰanikovd),երջանիկներովդ ‎(erǰaniknerovd),,
locative,—,—,,
,singular,plural,,
nominative,երջանիկ ‎(erǰanik),երջանիկներ ‎(erǰanikner),,
dative,երջանիկի ‎(erǰaniki),երջանիկների ‎(erǰanikneri),,
ablative,երջանիկից ‎(erǰanikicʿ),երջանիկներից ‎(erǰaniknericʿ),,
instrumental,երջանիկով ‎(erǰanikov),երջանիկներով ‎(erǰaniknerov),,
locative,երջանիկում ‎(erǰanikum),երջանիկներում ‎(erǰaniknerum),,
,definite forms,,,
nominative,երջանիկը/երջանիկն ‎(erǰanikə/erǰanikn),երջանիկները/երջանիկներն ‎(erǰaniknerə/erǰaniknern),,
dative,երջանիկին ‎(erǰanikin),երջանիկներին ‎(erǰaniknerin),,
,1st person possessive forms (my),,,
nominative,երջանիկս ‎(erǰaniks),երջանիկներս ‎(erǰanikners),,
dative,երջանիկիս ‎(erǰanikis),երջանիկներիս ‎(erǰanikneris),,
ablative,երջանիկիցս ‎(erǰanikicʿs),երջանիկներիցս ‎(erǰaniknericʿs),,
instrumental,երջանիկովս ‎(erǰanikovs),երջանիկներովս ‎(erǰaniknerovs),,
locative,երջանիկումս ‎(erǰanikums),երջանիկներումս ‎(erǰaniknerums),,
,2nd person possessive forms (your),,,
nominative,երջանիկդ ‎(erǰanikd),երջանիկներդ ‎(erǰaniknerd),,
dative,երջանիկիդ ‎(erǰanikid),երջանիկներիդ ‎(erǰaniknerid),,
ablative,երջանիկիցդ ‎(erǰanikicʿd),երջանիկներիցդ ‎(erǰaniknericʿd),,
instrumental,երջանիկովդ ‎(erǰanikovd),երջանիկներովդ ‎(erǰaniknerovd),,
locative,երջանիկումդ ‎(erǰanikumd),երջանիկներումդ ‎(erǰaniknerumd),,
ապերջանիկ ‎(aperǰanik),,երջանկահիշատակ ‎(erǰankahišatak),,
