0,1,2
,singular,plural
nominative,ֆրիզյան ‎(frizyan),ֆրիզյաններ ‎(frizyanner)
dative,ֆրիզյանի ‎(frizyani),ֆրիզյանների ‎(frizyanneri)
ablative,ֆրիզյանից ‎(frizyanicʿ),ֆրիզյաններից ‎(frizyannericʿ)
instrumental,ֆրիզյանով ‎(frizyanov),ֆրիզյաններով ‎(frizyannerov)
locative,ֆրիզյանում ‎(frizyanum),ֆրիզյաններում ‎(frizyannerum)
,definite forms,
nominative,ֆրիզյանը/ֆրիզյանն ‎(frizyanə/frizyann),ֆրիզյանները/ֆրիզյաններն ‎(frizyannerə/frizyannern)
dative,ֆրիզյանին ‎(frizyanin),ֆրիզյաններին ‎(frizyannerin)
,1st person possessive forms (my),
nominative,ֆրիզյանս ‎(frizyans),ֆրիզյաններս ‎(frizyanners)
dative,ֆրիզյանիս ‎(frizyanis),ֆրիզյաններիս ‎(frizyanneris)
ablative,ֆրիզյանիցս ‎(frizyanicʿs),ֆրիզյաններիցս ‎(frizyannericʿs)
instrumental,ֆրիզյանովս ‎(frizyanovs),ֆրիզյաններովս ‎(frizyannerovs)
locative,ֆրիզյանումս ‎(frizyanums),ֆրիզյաններումս ‎(frizyannerums)
,2nd person possessive forms (your),
nominative,ֆրիզյանդ ‎(frizyand),ֆրիզյաններդ ‎(frizyannerd)
dative,ֆրիզյանիդ ‎(frizyanid),ֆրիզյաններիդ ‎(frizyannerid)
ablative,ֆրիզյանիցդ ‎(frizyanicʿd),ֆրիզյաններիցդ ‎(frizyannericʿd)
instrumental,ֆրիզյանովդ ‎(frizyanovd),ֆրիզյաններովդ ‎(frizyannerovd)
locative,ֆրիզյանումդ ‎(frizyanumd),ֆրիզյաններումդ ‎(frizyannerumd)
