0,1,2
,singular (singulare tantum),
nominative,զատիկ ‎(zatik),
dative,զատկի ‎(zatki),
ablative,զատկից ‎(zatkicʿ),
instrumental,զատկով ‎(zatkov),
locative,զատկում ‎(zatkum),
,definite forms,
nominative,զատիկը/զատիկն ‎(zatikə/zatikn),
dative,զատկին ‎(zatkin),
,1st person possessive forms (my),
nominative,զատիկս ‎(zatiks),
dative,զատկիս ‎(zatkis),
ablative,զատկիցս ‎(zatkicʿs),
instrumental,զատկովս ‎(zatkovs),
locative,զատկումս ‎(zatkums),
,2nd person possessive forms (your),
nominative,զատիկդ ‎(zatikd),
dative,զատկիդ ‎(zatkid),
ablative,զատկիցդ ‎(zatkicʿd),
instrumental,զատկովդ ‎(zatkovd),
locative,զատկումդ ‎(zatkumd),
,singular (singulare tantum),
nominative,զատիկ ‎(zatik),
dative,զատիկի ‎(zatiki),
ablative,զատիկից ‎(zatikicʿ),
instrumental,զատիկով ‎(zatikov),
locative,զատիկում ‎(zatikum),
,definite forms,
nominative,զատիկը/զատիկն ‎(zatikə/zatikn),
dative,զատիկին ‎(zatikin),
,1st person possessive forms (my),
nominative,զատիկս ‎(zatiks),
dative,զատիկիս ‎(zatikis),
ablative,զատիկիցս ‎(zatikicʿs),
instrumental,զատիկովս ‎(zatikovs),
locative,զատիկումս ‎(zatikums),
,2nd person possessive forms (your),
nominative,զատիկդ ‎(zatikd),
dative,զատիկիդ ‎(zatikid),
ablative,զատիկիցդ ‎(zatikicʿd),
instrumental,զատիկովդ ‎(zatikovd),
locative,զատիկումդ ‎(zatikumd),
,singular (singulare tantum),
nominative,զատիկ ‎(zatik),
dative,զատկվա ‎(zatkva),
ablative,զատկվանից ‎(zatkvanicʿ),
instrumental,զատկով ‎(zatkov),
locative,զատկում ‎(zatkum),
,definite forms,
nominative,զատիկը/զատիկն ‎(zatikə/zatikn),
dative,զատկվան ‎(zatkvan),
,1st person possessive forms (my),
nominative,զատիկս ‎(zatiks),
dative,զատկվաս ‎(zatkvas),
ablative,զատկվանիցս ‎(zatkvanicʿs),
instrumental,զատկովս ‎(zatkovs),
locative,զատկումս ‎(zatkums),
,2nd person possessive forms (your),
nominative,զատիկդ ‎(zatikd),
dative,զատկվադ ‎(zatkvad),
ablative,զատկվանիցդ ‎(zatkvanicʿd),
instrumental,զատկովդ ‎(zatkovd),
locative,զատկումդ ‎(zatkumd),
,singular,plural
nominative,զատիկ ‎(zatik),զատիկներ ‎(zatikner)
dative,զատկի ‎(zatki),զատիկների ‎(zatikneri)
ablative,զատկից ‎(zatkicʿ),զատիկներից ‎(zatiknericʿ)
instrumental,զատկով ‎(zatkov),զատիկներով ‎(zatiknerov)
locative,—,—
,definite forms,
nominative,զատիկը/զատիկն ‎(zatikə/zatikn),զատիկները/զատիկներն ‎(zatiknerə/zatiknern)
dative,զատկին ‎(zatkin),զատիկներին ‎(zatiknerin)
,1st person possessive forms (my),
nominative,զատիկս ‎(zatiks),զատիկներս ‎(zatikners)
dative,զատկիս ‎(zatkis),զատիկներիս ‎(zatikneris)
ablative,զատկիցս ‎(zatkicʿs),զատիկներիցս ‎(zatiknericʿs)
instrumental,զատկովս ‎(zatkovs),զատիկներովս ‎(zatiknerovs)
locative,—,—
,2nd person possessive forms (your),
nominative,զատիկդ ‎(zatikd),զատիկներդ ‎(zatiknerd)
dative,զատկիդ ‎(zatkid),զատիկներիդ ‎(zatiknerid)
ablative,զատկիցդ ‎(zatkicʿd),զատիկներիցդ ‎(zatiknericʿd)
instrumental,զատկովդ ‎(zatkovd),զատիկներովդ ‎(zatiknerovd)
locative,—,—
,singular,plural
nominative,զատիկ ‎(zatik),զատիկներ ‎(zatikner)
dative,զատիկի ‎(zatiki),զատիկների ‎(zatikneri)
ablative,զատիկից ‎(zatikicʿ),զատիկներից ‎(zatiknericʿ)
instrumental,զատիկով ‎(zatikov),զատիկներով ‎(zatiknerov)
locative,—,—
,definite forms,
nominative,զատիկը/զատիկն ‎(zatikə/zatikn),զատիկները/զատիկներն ‎(zatiknerə/zatiknern)
dative,զատիկին ‎(zatikin),զատիկներին ‎(zatiknerin)
,1st person possessive forms (my),
nominative,զատիկս ‎(zatiks),զատիկներս ‎(zatikners)
dative,զատիկիս ‎(zatikis),զատիկներիս ‎(zatikneris)
ablative,զատիկիցս ‎(zatikicʿs),զատիկներիցս ‎(zatiknericʿs)
instrumental,զատիկովս ‎(zatikovs),զատիկներովս ‎(zatiknerovs)
locative,—,—
,2nd person possessive forms (your),
nominative,զատիկդ ‎(zatikd),զատիկներդ ‎(zatiknerd)
dative,զատիկիդ ‎(zatikid),զատիկներիդ ‎(zatiknerid)
ablative,զատիկիցդ ‎(zatikicʿd),զատիկներիցդ ‎(zatiknericʿd)
instrumental,զատիկովդ ‎(zatikovd),զատիկներովդ ‎(zatiknerovd)
locative,—,—
