0,1,2,3,4
Audio (West Armenian),,(file),,
,singular (singulare tantum),,,
nominative,ֆուտբոլ ‎(futbol),,,
dative,ֆուտբոլի ‎(futboli),,,
ablative,ֆուտբոլից ‎(futbolicʿ),,,
instrumental,ֆուտբոլով ‎(futbolov),,,
locative,ֆուտբոլում ‎(futbolum),,,
,definite forms,,,
nominative,ֆուտբոլը/ֆուտբոլն ‎(futbolə/futboln),,,
dative,ֆուտբոլին ‎(futbolin),,,
,1st person possessive forms (my),,,
nominative,ֆուտբոլս ‎(futbols),,,
dative,ֆուտբոլիս ‎(futbolis),,,
ablative,ֆուտբոլիցս ‎(futbolicʿs),,,
instrumental,ֆուտբոլովս ‎(futbolovs),,,
locative,ֆուտբոլումս ‎(futbolums),,,
,2nd person possessive forms (your),,,
nominative,ֆուտբոլդ ‎(futbold),,,
dative,ֆուտբոլիդ ‎(futbolid),,,
ablative,ֆուտբոլիցդ ‎(futbolicʿd),,,
instrumental,ֆուտբոլովդ ‎(futbolovd),,,
locative,ֆուտբոլումդ ‎(futbolumd),,,
ֆուտբոլային ‎(futbolayin),,ֆուտբոլասեր ‎(futbolaser),,
ֆուտբոլիստ ‎(futbolist),,,,
