0,1
,singular (singulare tantum)
nominative,ֆրոյդիզմ ‎(froydizm)
dative,ֆրոյդիզմի ‎(froydizmi)
ablative,ֆրոյդիզմից ‎(froydizmicʿ)
instrumental,ֆրոյդիզմով ‎(froydizmov)
locative,ֆրոյդիզմում ‎(froydizmum)
,definite forms
nominative,ֆրոյդիզմը/ֆրոյդիզմն ‎(froydizmə/froydizmn)
dative,ֆրոյդիզմին ‎(froydizmin)
,1st person possessive forms (my)
nominative,ֆրոյդիզմս ‎(froydizms)
dative,ֆրոյդիզմիս ‎(froydizmis)
ablative,ֆրոյդիզմիցս ‎(froydizmicʿs)
instrumental,ֆրոյդիզմովս ‎(froydizmovs)
locative,ֆրոյդիզմումս ‎(froydizmums)
,2nd person possessive forms (your)
nominative,ֆրոյդիզմդ ‎(froydizmd)
dative,ֆրոյդիզմիդ ‎(froydizmid)
ablative,ֆրոյդիզմիցդ ‎(froydizmicʿd)
instrumental,ֆրոյդիզմովդ ‎(froydizmovd)
locative,ֆրոյդիզմումդ ‎(froydizmumd)
