0,1,2
Other scripts,,
Cyrillic,дүшмән,
Roman,düşmən,
Perso-Arabic,"دوشمن, دشمن",
,singular,plural
absolute,düşmən,düşmənlər
definite accusative,düşməni,düşmənləri
dative,düşmənə,düşmənlərə
locative,düşməndə,düşmənlərdə
ablative,düşməndən,düşmənlərdən
definite genitive,düşmənin,düşmənlərin
nominative,singular,plural
mənim (my),düşmənim,düşmənlərim
sənin (your),düşmənin,düşmənlərin
onun (his/her/its),düşməni,düşmənləri
bizim (our),düşmənimiz,düşmənlərimiz
sizin (your),düşməniniz,düşmənləriniz
onların (their),düşməni düşmənləri,düşmənləri
accusative,singular,plural
mənim (my),düşmənimi,düşmənlərimi
sənin (your),düşmənini,düşmənlərini
onun (his/her/its),düşmənini,düşmənlərini
bizim (our),düşmənimizi,düşmənlərimizi
sizin (your),düşməninizi,düşmənlərinizi
onların (their),düşmənini düşmənlərini,düşmənlərini
dative,singular,plural
mənim (my),düşmənimə,düşmənlərimə
sənin (your),düşməninə,düşmənlərinə
onun (his/her/its),düşməninə,düşmənlərinə
bizim (our),düşmənimizə,düşmənlərimizə
sizin (your),düşməninizə,düşmənlərinizə
onların (their),düşməninə düşmənlərinə,düşmənlərinə
locative,singular,plural
mənim (my),düşmənimdə,düşmənlərimdə
sənin (your),düşmənində,düşmənlərində
onun (his/her/its),düşmənində,düşmənlərində
bizim (our),düşmənimizdə,düşmənlərimizdə
sizin (your),düşməninizdə,düşmənlərinizdə
onların (their),düşmənində düşmənlərində,düşmənlərində
ablative,singular,plural
mənim (my),düşmənimdən,düşmənlərimdən
sənin (your),düşmənindən,düşmənlərindən
onun (his/her/its),düşmənindən,düşmənlərindən
bizim (our),düşmənimizdən,düşmənlərimizdən
sizin (your),düşməninizdən,düşmənlərinizdən
onların (their),düşmənindən düşmənlərindən,düşmənlərindən
genitive,singular,plural
mənim (my),düşmənimin,düşmənlərimin
sənin (your),düşməninin,düşmənlərinin
onun (his/her/its),düşməninin,düşmənlərinin
bizim (our),düşmənimizin,düşmənlərimizin
sizin (your),düşməninizin,düşmənlərinizin
onların (their),düşməninin düşmənlərinin,düşmənlərinin
