0,1,2
imperfective aspect,,
infinitive,ісці́ (iscí),
,present tense,future tense
1st singular (я ‎(ja)),іду́ (idú),бу́ду ісці́ (búdu iscí)
2nd singular (ты ‎(ty)),ідзе́ш (idzjéš),бу́дзеш ісці́ (búdzješ iscí)
3rd singular (ён ‎(jón)/яна́ ‎(janá)/яно́ ‎(janó)),ідзе́ (idzjé),бу́дзе ісці́ (búdzje iscí)
1st plural (мы ‎(my)),ідзём (idzjóm),бу́дзем ісці́ (búdzjem iscí)
2nd plural (вы ‎(vy)),ідзяце́ (idzjacjé),бу́дзеце ісці́ (búdzjecje iscí)
3rd plural (яны́ ‎(janý)),іду́ць (idúcʹ),бу́дуць ісці́ (búducʹ iscí)
imperative,singular,plural
,ідзі́ (idzí),ідзі́це (idzícje)
past tense,singular,"plural(мы ‎(my), вы ‎(vy), яны́ ‎(janý))"
"masculine (я ‎(ja), ты ‎(ty), ён ‎(jón))",ішо́ў (išóŭ),ішлі́ (išlí)
"feminine (я ‎(ja), ты ‎(ty), яна́ ‎(janá))",ішла́ (išlá),
neuter (яно́ ‎(janó)),ішло́ (išló),
