0,1,2,3,4,5,6
verbal noun,হাত মারা (hat mara),,,,,
infinitive,হাত মারতে (hat marte),,,,,
progressive participle,হাত মারতে-মারতে (hat marte-marte),,,,,
conditional participle,হাত মারলে (hat marle),,,,,
perfect participle,হাত মেরে (hat mere),,,,,
habitual participle,হাত মেরে-মেরে (hat mere-mere),,,,,
,1st person,2nd person,3rd person,2nd person,3rd person,
very familiar,familiar,familiar,polite,,,
singular,আমি (ami),তুই (tui),তুমি (tumi),"এ (e), ও (o), সে (she)",আপনি (apni),"ইনি (ini), উনি (uni), তিনি (tini)"
plural,আমরা (amra),তোরা (tora),তোমরা (tomra),"এরা (era), ওরা (ora), তারা (tara)",আপনারা (apnara),"এঁরা (ẽra), ওঁরা (õra), তাঁরা (tãra)"
simple present,হাত মারি (hat mari),হাত মারিস (hat marish),হাত মারো (hat maro),হাত মারে (hat mare),হাত মারেন (hat maren),
present continuous,হাত মারছি (hat marchi),হাত মারছিস (hat marchish),হাত মারছো (hat marcho),হাত মারছে (hat marche),হাত মারছেন (hat marchen),
present perfect,হাত মেরেছি (hat merechi),হাত মেরেছিস (hat merechish),হাত মেরেছো (hat merecho),হাত মেরেছে (hat mereche),হাত মেরেছেন (hat merechen),
simple past,হাত মারলাম (hat marlam),হাত মারলি (hat marli),হাত মারলে (hat marle),হাত মারলো (hat marlo),হাত মারলেন (hat marlen),
past continuous,হাত মারছিলাম (hat marchilam),হাত মারছিলি (hat marchili),হাত মারছিলে (hat marchile),হাত মারছিলো (hat marchilo),হাত মারছিলেন (hat marchilen),
past perfect,হাত মেরেছিলাম (hat merechilam),হাত মেরেছিলি (hat merechili),হাত মেরেছিলে (hat merechile),হাত মেরেছিলো (hat merechilo),হাত মেরেছিলেন (hat merechilen),
habitual/ conditional past,হাত মারতাম (hat martam),হাত মারতিস (hat martish),হাত মারতে (hat marte),হাত মারতো (hat marto),হাত মারতেন (hat marten),
future,হাত মারবো (hat marbo),হাত মারবি (hat marbi),হাত মারবে (hat marbe),হাত মারবে (hat marbe),হাত মারবেন (hat marben),
