0,1,2
,indefinite forms,
nominative,শিশ্ন (shishnô),
objective,শিশ্ন / শিশ্নকে (shishnô (semantically general or indefinite) / shishnôke (semantically definite)),
genitive,শিশ্নের (shishner),
locative,শিশ্নে (shishne),
,,
,definite forms,
,singular,plural
nominative,"শিশ্নটা, শিশ্নটি (shishnô-ţa (colloquial) , shishnô-ţi (formal))","শিশ্নগুলা, শিশ্নগুলো (shishnô-gula (colloquial), shishnô-gulo (formal))"
objective,"শিশ্নটা, শিশ্নটি (shishnô-ţa (colloquial), shishnô-ţi (formal))","শিশ্নগুলা, শিশ্নগুলো (shishnô-gula (colloquial), shishnô-gulo (formal))"
genitive,"শিশ্নটার, শিশ্নটির (shishnô-ţar (colloquial), shishnô-ţir (formal))","শিশ্নগুলার, শিশ্নগুলোর (shishnô-gular (colloquial), shishnô-gulor (formal))"
locative,"শিশ্নটাতে / শিশ্নটায়, শিশ্নটিতে (shishnô-ţate / shishnô-ṭaẹ (colloquial), shishnô-ţite (formal))","শিশ্নগুলাতে, শিশ্নগুলোতে (shishnô-gulate (colloquial), shishnô-gulote (formal))"
