0,1,2,3,4,5,6,7
Personal forms,,,,,,,
,Indicative,Conditional,Imperative,,,,
Present,Imperfect,Preterite,Future,Present,Imperfect,,
1s,evan,even,evis,evin,evfen,evjen,-
2s,evez,eves,evjout,evi,evfes,evjes,ev
3s,ev,eve,evas,evo,evfe,evje,evet
1p,evomp,evemp,evjomp,evimp,evfemp,evjemp,evomp
2p,evit,evec'h,evjoc'h,evot,evfec'h,evjec'h,evit
3p,evont,event,evjont,evint,evfent,evjent,event
0,ever,eved,evjod,evor,evfed,evjed,-
Impersonal forms,Mutated forms,,,,,,
"Infinitive: evañ, evet Present participle: oc'h evañ Past participle: evet (auxiliary verb: kaout)",Soft mutation after a: a ev- Mixed mutation after e: ec'h ev- Soft mutation after ne/na: n'ev-,,,,,,
evadeg  evadenn  evadkinnig,,evadur  everann  ever,,everezh  evlec'h,,,
