0,1,2,3,4,5,6,7,8
participles,present active participle,past active aorist participle,past active imperfect participle,past passive participle,verbal noun,adverbial participle,,
masculine,indefinite,бъдещ,бил,бъдел,—,,бъдейки/бидейки,
definite subject form,бъдещият,билият,—,—,,,,
definite object form,бъдещия,билия,—,—,,,,
feminine,indefinite,бъдеща,била,бъдела,—,,,
definite,бъдещата,билата,—,—,,,,
neuter,indefinite,бъдещо,било,бъдело,—,—,,
definite,бъдещото,билото,—,—,—,,,
plural,indefinite,бъдещи,били,бъдели,—,—,,
definite,бъдещите,билите,—,—,—,,,
person,singular,plural,,,,,,
first,second,third,first,second,third,,,
indicative,аз,ти,той/тя/то,ние,вие,те,,
present,бъда,бъдеш,бъде,бъдем,бъдете,бъдат,,
imperfect,бъдех,бъдеше,бъдеше,бъдехме,бъдехте,бъдеха,,
first aorist,бих,би,би,бихме,бихте,биха,,
second aorist,бидох,биде,биде,бидохме,бидохте,бидоха,,
future,pos.,ще бъда,ще бъдеш,ще бъде,ще бъдем,ще бъдете,ще бъдат,
neg.,няма да бъда,няма да бъдеш,няма да бъде,няма да бъдем,няма да бъдете,няма да бъдат,,
future in the past,pos.,щях да бъда,щеше да бъдеш,щеше да бъде,щяха да бъдем,щяхме да бъдете,щяхте да бъдат,
neg.,нямаше да бъда,нямаше да бъдеш,нямаше да бъде,нямаше да бъдем,нямаше да бъдете,нямаше да бъдат,,
present perfect,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
past perfect,masc.,бях бил,бе(ше) бил,бе(ше) бил,бяхме били,бяхте били,бяха били,
fem.,бях била,бе(ше) била,бе(ше) била,,,,,
neut.,бях било,бе(ше) било,бе(ше) било,,,,,
future perfect,pos.,masc.,ще съм бил,ще си бил,ще е бил,ще сме били,ще сте били,ще са били
fem.,ще съм била,ще си била,ще е била,,,,,
neut.,ще съм било,ще си било,ще е било,,,,,
neg.,masc.,няма да съм бил,няма да си бил,няма да е бил,няма да сме били,няма да сте били,няма да са били,
fem.,няма да съм била,няма да си била,няма да е била,,,,,
neut.,няма да съм било,няма да си било,няма да е било,,,,,
future perfect in the past,pos.,masc.,щях да съм бил,щеше да си бил,щеше да е бил,щяхме да сме били,щяхте да сте били,щяха да са били
fem.,щях да съм била,щеше да си била,щеше да е била,,,,,
neut.,щях да съм било,щеше да си било,щеше да е било,,,,,
neg.,masc.,нямаше да съм бил,нямаше да си бил,нямаше да е бил,нямаше да сме били,нямаше да сте били,нямаше да са били,
fem.,нямаше да съм била,нямаше да си била,нямаше да е била,,,,,
neut.,нямаше да съм било,нямаше да си било,нямаше да е било,,,,,
renarrative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бъдел съм,бъдел си,бъдел,бъдели сме,бъдели сте,бъдели,
fem.,бъдела съм,бъдела си,бъдела,,,,,
neut.,бъдело съм,бъдело си,бъдело,,,,,
aorist,masc.,бил съм,бил си,бил,били сме,били сте,били,
fem.,била съм,била си,била,,,,,
neut.,било съм,било си,било,,,,,
future and future in the past,pos.,masc.,щял съм да бъда,щял си да бъдеш,щял да бъде,щели сме да бъдем,щели сте да бъдете,щели да бъдат
fem.,щяла съм да бъда,щяла си да бъдеш,щяла да бъде,,,,,
neut.,щяло съм да бъда,щяло си да бъдеш,щяло да бъде,,,,,
neg.,нямало да бъда,нямало да бъдеш,нямало да бъде,нямало да бъдем,нямало да бъдете,нямало да бъдат,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм бил,щял си да си бил,щял да е бил,щели сме да сме били,щели сте да сте били,щели да са били
fem.,щяла съм да съм била,щяла си да си била,щяла да е била,,,,,
neut.,щяло съм да съм било,щяло си да си било,щяло да е било,,,,,
neg.,masc.,нямало да съм бил,нямало да си бил,нямало да е бил,нямало да сме били,нямало да сте били,нямало да са били,
fem.,нямало да съм била,нямало да си била,нямало да е била,,,,,
neut.,нямало да съм било,нямало да си било,нямало да е било,,,,,
dubitative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бил съм бъдел,бил си бъдел,бил бъдел,били сме бъдели,били сте бъдели,били бъдели,
fem.,била съм бъдела,била си бъдела,била бъдела,,,,,
neut.,било съм бъдело,било си бъдело,било бъдело,,,,,
aorist,none,,,,,,,
future and future in the past,pos.,masc.,щял съм бил да бъда,щял си бил да бъдеш,щял бил да бъде,щели сме били да бъдем,щели сте били да бъдете,щели били да бъдат
fem.,щяла съм била да бъда,щяла си била да бъдеш,щяла била да бъде,,,,,
neut.,щяло съм било да бъда,щяло си било да бъдеш,щяло било да бъде,,,,,
neg.,нямало било да бъда,нямало било да бъдеш,нямало било да бъде,нямало било да бъдем,нямало било да бъдете,нямало било да бъдат,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм бил да съм бил,щял си бил да си бил,щял бил да е бил,щели сме били да сме били,щели сте били да сте били,щели били да са били
fem.,щяла съм била да съм била,щяла си била да си била,щяла била да е била,,,,,
neut.,щяло съм било да съм било,щяло си било да си било,щяло било да е било,,,,,
neg.,masc.,нямало било да съм бил,нямало било да си бил,нямало било да е бил,нямало било да сме били,нямало било да сте били,нямало било да са били,
fem.,нямало било да съм била,нямало било да си била,нямало било да е била,,,,,
neut.,нямало било да съм било,нямало било да си било,нямало било да е било,,,,,
conclusive,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
aorist,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
future and future in the past,pos.,masc.,щял съм да бъда,щял си да бъдеш,щял е да бъде,щели сме да бъдем,щели сте да бъдете,щели са да бъдат
fem.,щяла съм да бъда,щяла си да бъдеш,щяла е да бъде,,,,,
neut.,щяло съм да бъда,щяло си да бъдеш,щяло е да бъде,,,,,
neg.,нямало е да бъда,нямало е да бъдеш,нямало е да бъде,нямало е да бъдем,нямало е да бъдете,нямало е да бъдат,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм бил,щял си да си бил,щял е да е бил,щели сме да сме били,щели сте да сте били,щели са да са били
fem.,щяла съм да съм била,щяла си да си била,щяла е да е била,,,,,
neut.,щяло съм да съм било,щяло си да си било,щяло е да е било,,,,,
neg.,masc.,нямало е да съм бил,нямало е да си бил,нямало е да е бил,нямало е да сме били,нямало е да сте били,нямало е да са били,
fem.,нямало е да съм била,нямало е да си била,нямало е да е била,,,,,
neut.,нямало е да съм било,нямало е да си било,нямало е да е било,,,,,
conditional,аз,ти,той/тя/то,ние,вие,те,,
masculine,бих бил,би бил,би бил,бихме били,бихте били,биха били,,
feminine,бих била,би била,би била,,,,,
neuter,бих било,би било,би било,,,,,
imperative,-,ти,-,-,вие,-,,
,бъди,,,бъдете,,,,
