0,1,2,3,4
state,singular (uncountable),,,
absolute,ܡܡܠܠܘ,,,
construct,ܡܡܠܠܘܬ,,,
emphatic,ܡܡܠܠܘܬܐ,,,
possessive forms,,,,
1st c. sg. (my),ܡܡܠܠܘܬܝ,,,
2nd m. sg. (your),ܡܡܠܠܘܬܟ,,,
2nd f. sg. (your),ܡܡܠܠܘܬܟܝ,,,
3rd m. sg. (his),ܡܡܠܠܘܬܗ,,,
3rd f. sg. (her),ܡܡܠܠܘܬܗ,,,
1st c. pl. (our),ܡܡܠܠܘܬܢ,,,
2nd m. pl. (your),ܡܡܠܠܘܬܟܘܢ,,,
2nd f. pl. (your),ܡܡܠܠܘܬܟܝܢ,,,
3rd m. pl. (their),ܡܡܠܠܘܬܗܘܢ,,,
3rd f. pl. (their),ܡܡܠܠܘܬܗܝܢ,,,
ܡܡܠܠܘܬ ܕܪܐ  ܡܡܠܠܘܬ ܫܪܒܬܐ  ܡܡܠܠܘܬ ܫܘܒܚܐ,,ܡܡܠܠܘܬ ܟܘܟܒܐ  ܡܡܠܠܘܬ ܦܗܝܬܐ  ܡܡܠܠܘܬ ܬܫܒܚܬܐ,,ܡܡܠܠܘܬ ܕܓܠܘܬܐ  ܡܡܠܠܘܬ ܐܠܗܘܬܐ  ܡܡܠܠܘܬ ܟܝܢܝܬܐ
