0,1,2,3,4,5,6,7,8,9,10
,Indicative,Subjunctive,Imperative,,,,,,,
Present(short),Present(long),Future-Habitual,Imperfect(short),Imperfect(long),Preterite,Conditional,Present-future,Imperfect,,
1s,"ov vy, o'ma",erov vy,bedhav vy,en vy,esen vy,beuv vy,bien vy,"biv vy, bon vy",ben vy,-
2s,"os jy, os ta","eros jy, es ta",bedhydh jy,es jy,eses jy,beus jy,bies jy,"bi jy, bos jy",bes jy,bydh
3s,yw ev,"yma ev, usi ev, eus",bydh ev,o ev,esa ev,beu ev,bia ev,bo ev,be ev,bedhes
1p,on ni,eron ni,bedhyn ni,en ni,esen ni,beun ni,bien ni,"byn ni, bon ni",ben ni,bedhyn
2p,owgh hwi,erowgh hwi,bedhowgh hwi,ewgh hwi,esewgh hwi,bewgh hwi,biewgh hwi,bowgh hwi,bewgh hwi,bedhowgh
3p,yns i,"ymons i, usons i",bedhons i,ens i,esens i,bons i,biens i,bons i,bens i,bedhens
0,or,eder,bedher,os,eses,beus,bies,ber,bes,-
Present participle: ow pos Verbal adjective: (not used),,,,,,,,,,
Cornish consonant mutation,,,,,,,,,,
unmutated,soft,aspirate,hard,mixed,mixed after 'th,,,,,
bos,vos,unchanged,pos,fos,vos,,,,,
