0,1,2,3,4
singular,,,,
,masculine animate,masculine inanimate,feminine,neuter
nominative,starší,,,
genitive,staršího,starší,staršího,
dative,staršímu,starší,staršímu,
accusative,staršího,starší,,
vocative,starší,,,
locative,starším,starší,starším,
instrumental,starším,starší,starším,
plural,,,,
nominative,starší,,,
genitive,starších,,,
dative,starším,,,
accusative,starší,,,
vocative,starší,,,
locative,starších,,,
instrumental,"staršími, (colloquial) staršíma",,,
,singular,plural,,
nominative,starší,starší,,
genitive,staršího,starších,,
dative,staršímu,starším,,
accusative,staršího,starší,,
vocative,starší,starší,,
locative,starším,starších,,
instrumental,starším,staršími,,
