0,1,2,3,4,5,6,7,8,9,10
audio,,(file),,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,nula,jeden,dva,tři,čtyři,pět,šest,sedm,osm,devět
1—,deset,jedenáct,dvanáct,třináct,čtrnáct,patnáct,šestnáct,sedmnáct,osmnáct,devatenáct
2—,dvacet,dvacet jeden,dvacet dva,dvacet tři,dvacet čtyři,dvacet pět,dvacet šest,dvacet sedm,dvacet osm,dvacet devět
3—,třicet,třicet jeden,třicet dva,třicet tři,třicet čtyři,třicet pět,třicet šest,třicet sedm,třicet osm,třicet devět
4—,čtyřicet,čtyřicet jeden,čtyřicet dva,čtyřicet tři,čtyřicet čtyři,čtyřicet pět,čtyřicet šest,čtyřicet sedm,čtyřicet osm,čtyřicet devět
5—,padesát,padesát jeden,padesát dva,padesát tři,padesát čtyři,padesát pět,padesát šest,padesát sedm,padesát osm,padesát devět
6—,šedesát,šedesát jeden,šedesát dva,šedesát tři,šedesát čtyři,šedesát pět,šedesát šest,šedesát sedm,šedesát osm,šedesát devět
7—,sedmdesát,sedmdesát jeden,sedmdesát dva,sedmdesát tři,sedmdesát čtyři,sedmdesát pět,sedmdesát šest,sedmdesát sedm,sedmdesát osm,sedmdesát devět
8—,osmdesát,osmdesát jeden,osmdesát dva,osmdesát tři,osmdesát čtyři,osmdesát pět,osmdesát šest,osmdesát sedm,osmdesát osm,osmdesát devět
9—,devadesát,devadesát jeden,devadesát dva,devadesát tři,devadesát čtyři,devadesát pět,devadesát šest,devadesát sedm,devadesát osm,devadesát devět
