0,1,2,3,4,5
,singular,plural,,,
nominative,jezdec,jezdci,,,
genitive,jezdce,jezdců,,,
dative,"jezdci, jezdcovi",jezdcům,,,
accusative,jezdce,jezdce,,,
vocative,jezdče,jezdci,,,
locative,"jezdci, jezdcovi",jezdcích,,,
instrumental,jezdcem,jezdci,,,
,singular,plural,,,
nominative,jezdec,"jezdce, jezdci",,,
genitive,jezdce,jezdců,,,
dative,jezdci,jezdcům,,,
accusative,"jezdce, jezdec",jezdce,,,
vocative,jezdci,"jezdce, jezdci",,,
locative,jezdci,jezdcích,,,
instrumental,jezdcem,jezdci,,,
Chess pieces in Czech · šachové figurky (layout · text),,,,,
,,,,,
král,"dáma, královna",věž,střelec,"jezdec, kůň",pěšec
