0,1,2,3,4
,singular,plural,,
nominative,rozhodčí,rozhodčí,,
genitive,rozhodčího,rozhodčích,,
dative,rozhodčímu,rozhodčím,,
accusative,rozhodčího,rozhodčí,,
vocative,rozhodčí,rozhodčí,,
locative,rozhodčím,rozhodčích,,
instrumental,rozhodčím,rozhodčími,,
,singular,plural,,
nominative,rozhodčí,rozhodčí,,
genitive,rozhodčí,rozhodčích,,
dative,rozhodčí,rozhodčím,,
accusative,rozhodčí,rozhodčí,,
vocative,rozhodčí,rozhodčí,,
locative,rozhodčí,rozhodčích,,
instrumental,rozhodčí,rozhodčími,,
singular,,,,
,masculine animate,masculine inanimate,feminine,neuter
nominative,rozhodčí,,,
genitive,rozhodčího,rozhodčí,rozhodčího,
dative,rozhodčímu,rozhodčí,rozhodčímu,
accusative,rozhodčího,rozhodčí,,
vocative,rozhodčí,,,
locative,rozhodčím,rozhodčí,rozhodčím,
instrumental,rozhodčím,rozhodčí,rozhodčím,
plural,,,,
nominative,rozhodčí,,,
genitive,rozhodčích,,,
dative,rozhodčím,,,
accusative,rozhodčí,,,
vocative,rozhodčí,,,
locative,rozhodčích,,,
instrumental,"rozhodčími, (colloquial) rozhodčíma",,,
