0,1,2
audio (Belgium),,(file)
audio (Netherlands),,(file)
Inflection of geeuwen (weak),,
infinitive,geeuwen,
past singular,geeuwde,
past participle,gegeeuwd,
infinitive,geeuwen,
gerund,geeuwen n,
verbal noun,—,
,present tense,past tense
1st person singular,geeuw,geeuwde
2nd person sing. (jij),geeuwt,geeuwde
2nd person sing. (u),geeuwt,geeuwde
2nd person sing. (gij),geeuwt,geeuwde
3rd person singular,geeuwt,geeuwde
plural,geeuwen,geeuwden
,,
subjunctive sing.1,geeuwe,geeuwde
subjunctive plur.1,geeuwen,geeuwden
,,
imperative sing.,geeuw,
imperative plur.1,geeuwt,
,,
participles,geeuwend,gegeeuwd
1) Archaic.,,
