0,1,2
audio (Belgium),,(file)
audio (Netherlands),,(file)
Inflection of geven (strong class 5),,
infinitive,geven,
past singular,gaf,
past participle,gegeven,
infinitive,geven,
gerund,geven n,
verbal noun,—,
,present tense,past tense
1st person singular,geef,gaf
2nd person sing. (jij),geeft,gaf
2nd person sing. (u),geeft,gaf
2nd person sing. (gij),geeft,gaaft
3rd person singular,geeft,gaf
plural,geven,gaven
,,
subjunctive sing.1,geve,gave
subjunctive plur.1,geven,gaven
,,
imperative sing.,geef,
imperative plur.1,geeft,
,,
participles,gevend,gegeven
1) Archaic.,,
