0,1,2,3,4
Audio,,(file),,
"Inflection of goedkeuren (weak, separable)",,,,
infinitive,goedkeuren,,,
past singular,keurde goed,,,
past participle,goedgekeurd,,,
infinitive,goedkeuren,,,
gerund,goedkeuren n,,,
verbal noun,—,,,
,main clause,subordinate clause,,
,present tense,past tense,present tense,past tense
1st person singular,keur goed,keurde goed,goedkeur,goedkeurde
2nd person sing. (jij),keurt goed,keurde goed,goedkeurt,goedkeurde
2nd person sing. (u),keurt goed,keurde goed,goedkeurt,goedkeurde
2nd person sing. (gij),keurt goed,keurde goed,goedkeurt,goedkeurde
3rd person singular,keurt goed,keurde goed,goedkeurt,goedkeurde
plural,keuren goed,keurden goed,goedkeuren,goedkeurden
,,,,
subjunctive sing.1,keure goed,keurde goed,goedkeure,goedkeurde
subjunctive plur.1,keuren goed,keurden goed,goedkeuren,goedkeurden
,,,,
imperative sing.,keur goed,,,
imperative plur.1,keurt goed,,,
,,,,
participles,goedkeurend,goedgekeurd,,
1) Archaic.,,,,
