0,1,2,3
fíggjarligur a3,,,
Singular (eintal),m (kallkyn),f (kvennkyn),n (hvørkikyn)
Nominative (hvørfall),fíggjarligur,fíggjarlig,fíggjarligt
Accusative (hvønnfall),fíggjarligan,fíggjarliga,
Dative (hvørjumfall),fíggjarligum,fíggjarligari,fíggjarligum
Genitive (hvørsfall),(fíggjarligs),(fíggjarligar),(fíggjarligs)
,,,
Plural (fleirtal),m (kallkyn),f (kvennkyn),n (hvørkikyn)
Nominative (hvørfall),fíggjarligir,fíggjarligar,fíggjarlig
Accusative (hvønnfall),fíggjarligar,,
Dative (hvørjumfall),fíggjarligum,,
Genitive (hvørsfall),(fíggjarliga),,
Weak adjectival inflection of fíggjarligur,,,
Singular (eintal),m,f,n
Nominative (hvørfall),fíggjarligi,fíggjarliga,fíggjarliga
Accusative (hvønnfall),fíggjarliga,fíggjarligu,
Dative (hvørjumfall),,,
Genitive (hvørsfall),,,
,,,
Plural (fleirtal),m,f,n
Nominative (hvørfall),fíggjarligu,,
Accusative (hvønnfall),,,
Dative (hvørjumfall),,,
Genitive (hvørsfall),,,
