0,1,2,3,4
Declension of fjallabrúður,,,,
f18,singular,plural,,
indefinite,definite,indefinite,definite,
nominative,fjallabrúður,fjallabrúðurin,fjallabrúðrar,fjallabrúðrarnar
accusative,fjallabrúður,fjallabrúðrina,fjallabrúðrar,fjallabrúðrarnar
dative,fjallabrúður,fjallabrúðrini,fjallabrúðrum,fjallabrúðrunum
genitive,fjallabrúðar,fjallabrúðarinnar,fjallabrúðra,fjallabrúðranna
Declension of fjallabrúður,,,,
f17,singular,plural,,
indefinite,definite,indefinite,definite,
nominative,fjallabrúður,fjallabrúðurin,fjallabrúðrar,fjallabrúðrarnar
accusative,fjallabrúður,fjallabrúðrina,fjallabrúðrar,fjallabrúðrarnar
dative,fjallabrúður,fjallabrúðrini,fjallabrúðrum,fjallabrúðrunum
genitive,fjallabrúðrar,fjallabrúðrarinnar,fjallabrúðra,fjallabrúðranna
